fips,hot_days_95f,hot_days_95f_high,hot_days_100f,hot_days_100f_high,hot_days_105f,hot_days_105f_high,warm_nights_70f,warm_nights_70f_high,freezing_nights,freezing_nights_high,very_cold_nights_0f,very_cold_nights_0f_high,wettest_day,wettest_day_high,wettest_day_5yr,wettest_day_5yr_high,extreme_rain_total,extreme_rain_total_high,extreme_rain_days,extreme_rain_days_high,annual_rain,annual_rain_high,consecutive_dry_days_mid45,consecutive_dry_days_mid45_high,dry_days_mid45,dry_days_mid45_high,hot_days_90f_mid45,hot_days_90f_mid45_high,cooling_degree_days_mid45,cooling_degree_days_mid45_high,heavy_rain_days_1in_mid45,heavy_rain_days_1in_mid45_high,days_over_95f_hist,days_over_95f_2050,days_over_95f_2050_high,days_over_2in_hist,days_over_2in_2050,days_over_2in_2050_high,icing_days_hist,icing_days_2050,icing_days_2050_high,dry_spell_days_hist,dry_spell_days_2050,dry_spell_days_2050_high,days_over_90f_hist
01001,2.145,3.22,4.669,10.26,,,1.646,2.089,0.6951,0.53,,,1.081,1.094,1.109,1.08,1.23,1.31,1.222,1.362,1.046,1.059,0.97,0.9938,0.9867,0.9877,1.757,1.956,1.407,1.544,1.106,1.081,13.33,51.4,65.02,2.761,3.367,3.429,0.4674,0.1421,0.1112,26.72,25.92,26.56,61.82
01003,2.963,4.93,,,,,1.321,1.533,0.6089,0.4239,,,1.06,1.059,1.065,1.03,1.151,1.145,1.188,1.18,1.037,1.038,0.9893,0.9999,0.9874,0.9914,1.966,2.18,1.373,1.483,1.076,1.058,6.75,42.49,57.59,4.31,5.001,4.846,0.1441,0.04429,0.02465,26.84,26.55,26.84,57.16
01005,2.157,3.264,5.174,10.94,,,1.68,2.14,0.7119,0.5505,,,1.072,1.101,1.109,1.116,1.189,1.287,1.216,1.331,1.045,1.063,0.9707,0.9824,0.9839,0.9874,1.811,2.02,1.408,1.54,1.135,1.113,13.12,50.21,64.36,2.905,3.687,3.621,0.3724,0.1161,0.1144,28.66,27.82,28.16,60.79
01007,2.075,3.121,3.453,6.978,,,1.953,2.655,0.7311,0.5794,,,1.101,1.11,1.159,1.116,1.233,1.303,1.279,1.364,1.04,1.052,0.9791,1.012,0.9881,0.9904,1.835,2.048,1.442,1.591,1.074,1.066,13.35,50.09,62.7,3.037,3.75,3.788,0.8236,0.2415,0.204,26.57,26.02,26.91,57.22
01009,2.308,3.738,3.621,7.887,,,2.346,3.531,0.7625,0.6222,,,1.123,1.14,1.161,1.145,1.316,1.403,1.424,1.474,1.051,1.071,0.9958,1.01,0.9893,0.9889,1.997,2.304,1.432,1.596,1.094,1.112,8.503,33.31,44.37,2.698,3.462,3.594,2.176,0.7397,0.5874,25.55,25.45,25.8,42.64
01011,2.342,3.666,,,,,1.752,2.27,0.7221,0.5658,,,1.056,1.085,1.072,1.082,1.181,1.266,1.216,1.319,1.042,1.061,0.9811,0.9803,0.9845,0.9869,1.886,2.128,1.42,1.562,1.12,1.097,10.64,45.31,59.82,2.941,3.62,3.619,0.5392,0.1877,0.1755,28.8,28.26,28.24,55.76
01013,2.283,3.532,,,,,1.837,2.429,0.7029,0.5475,,,1.081,1.082,1.122,1.078,1.187,1.224,1.211,1.279,1.049,1.052,0.977,0.983,0.986,0.9888,1.773,1.985,1.428,1.566,1.108,1.084,12.37,50.67,66.18,3.418,4.19,4.173,0.3868,0.1344,0.1028,27.88,27.24,27.41,64
01015,2.393,3.921,,,,,2.13,3.127,0.7495,0.6004,,,1.109,1.137,1.14,1.162,1.258,1.353,1.324,1.431,1.038,1.056,0.9758,0.9984,0.9898,0.9893,2.167,2.51,1.481,1.651,1.114,1.122,7.086,34.41,46.43,2.152,2.826,2.923,1.359,0.4208,0.3496,25.07,24.46,25.03,39.92
01017,2.315,3.706,,,,,2.415,3.758,0.7475,0.5925,,,1.085,1.132,1.062,1.127,1.276,1.352,1.324,1.428,1.049,1.06,0.9766,0.9936,0.9873,0.9871,1.922,2.191,1.449,1.608,1.115,1.099,9.082,38.7,51.44,2.403,3.131,3.201,0.6253,0.1583,0.1328,25.95,25.34,25.78,48.81
01019,2.421,3.961,,,,,2.256,3.326,0.7582,0.6128,,,1.106,1.144,1.113,1.15,1.289,1.419,1.39,1.545,1.048,1.067,0.9857,1.003,0.9896,0.9895,2.206,2.549,1.502,1.677,1.129,1.127,6.901,34.66,46.92,2.463,3.286,3.438,2.16,0.7312,0.5877,24.13,23.79,24.21,38.72
01021,2.24,3.498,4.6,10.03,,,2.009,2.774,0.7355,0.5756,,,1.108,1.13,1.15,1.128,1.257,1.33,1.265,1.375,1.053,1.065,0.9748,0.9919,0.9857,0.9876,1.91,2.146,1.423,1.568,1.089,1.08,10.65,43.4,56.01,2.967,3.637,3.751,0.8087,0.2825,0.2502,26.74,26.07,26.53,51.62
01023,2.136,3.133,4.435,9.551,,,1.755,2.278,0.7002,0.5362,,,1.114,1.095,1.154,1.111,1.192,1.223,1.174,1.254,1.037,1.037,1.004,1.014,0.9901,0.9919,1.689,1.853,1.415,1.549,1.087,1.058,15.36,58.55,73.15,2.64,3.172,3.076,0.3655,0.09312,0.076,26.23,26.34,26.61,69.5
01025,2.106,3.07,4.417,9.568,,,1.68,2.17,0.697,0.5317,,,1.098,1.085,1.106,1.095,1.211,1.23,1.224,1.265,1.044,1.045,0.994,0.9887,0.9877,0.9909,1.622,1.782,1.397,1.524,1.082,1.051,15.88,58.95,73.57,3.255,3.887,3.856,0.287,0.08786,0.06764,27.28,27.12,26.97,73.16
01027,2.989,5.353,,,,,3.1,5.516,0.7582,0.6107,,,1.098,1.141,1.127,1.158,1.264,1.349,1.32,1.403,1.044,1.058,0.9867,0.9953,0.9869,0.9863,2.585,3.064,1.546,1.737,1.108,1.104,4.015,26.38,37.76,2.73,3.394,3.521,1.353,0.3796,0.3349,25.36,25.02,25.24,29.87
01029,2.909,5.261,,,,,2.996,5.274,0.7886,0.6515,,,1.095,1.134,1.095,1.14,1.265,1.363,1.367,1.476,1.045,1.066,0.9797,1,0.988,0.9883,2.638,3.167,1.553,1.749,1.11,1.112,3.719,24.28,34.88,2.592,3.31,3.441,1.664,0.5698,0.4943,24.98,24.47,24.98,27.63
01031,2.242,3.469,,,,,1.647,2.097,0.6808,0.519,,,1.067,1.069,1.073,1.079,1.173,1.213,1.284,1.26,1.056,1.055,0.9893,0.9876,0.9855,0.9883,1.671,1.86,1.382,1.512,1.112,1.105,13.17,50.49,65.43,3.48,4.447,4.342,0.2953,0.07792,0.07596,28,27.7,27.65,67.02
01033,2.263,3.484,3.77,8.457,,,2.052,2.945,0.7385,0.5819,,,1.102,1.135,1.098,1.155,1.301,1.401,1.304,1.432,1.044,1.056,1.007,1.026,0.9919,0.9914,2.053,2.327,1.514,1.687,1.077,1.092,9.676,44.19,56.48,2.688,3.227,3.253,3.154,1.018,0.7715,24.92,25.09,25.57,45.41
01035,2.28,3.511,,,,,1.771,2.311,0.7108,0.5568,,,1.081,1.08,1.127,1.073,1.182,1.222,1.213,1.288,1.051,1.053,0.9886,0.9866,0.9851,0.988,1.76,1.941,1.405,1.534,1.09,1.08,12.95,50.35,65.1,3.615,4.503,4.424,0.3406,0.1166,0.1087,26.45,26.14,26.09,65.33
01037,2.467,4.02,,,,,2.507,3.84,0.7451,0.5926,,,1.108,1.13,1.143,1.118,1.252,1.322,1.249,1.359,1.042,1.054,0.9838,0.9992,0.9868,0.9872,2.111,2.407,1.462,1.619,1.088,1.079,7.512,36.15,48.34,2.77,3.38,3.489,0.8463,0.2835,0.2447,25.87,25.45,25.85,43.3
01039,2.202,3.321,5.527,12.44,,,1.869,2.52,0.7251,0.5788,,,1.089,1.082,1.137,1.108,1.195,1.203,1.288,1.248,1.066,1.056,0.9876,0.9974,0.9861,0.9897,1.613,1.795,1.391,1.525,1.089,1.084,15.12,52.89,68.22,3.53,4.361,4.231,0.2852,0.08194,0.07996,27.12,26.78,27.05,71.4
01041,2.344,3.7,,,,,1.907,2.573,0.7074,0.5495,,,1.069,1.079,1.099,1.079,1.19,1.231,1.261,1.28,1.052,1.052,0.9829,0.9904,0.9844,0.9874,1.785,2.007,1.427,1.573,1.109,1.094,11.59,48.5,64.52,3.17,3.984,3.921,0.4023,0.1441,0.1307,27.62,27.14,27.35,62.49
01043,2.246,3.537,3.404,7.27,,,2.599,4.086,0.7703,0.6342,,,1.113,1.135,1.146,1.139,1.314,1.412,1.416,1.45,1.045,1.068,0.9915,1.014,0.9913,0.9901,2.043,2.329,1.47,1.635,1.095,1.109,8.621,36.12,46.94,2.8,3.484,3.699,2.517,0.7624,0.5739,24.46,24.26,24.81,42.32
01045,2.139,3.247,4.779,10.36,,,1.595,2.002,0.673,0.5087,,,1.073,1.076,1.076,1.083,1.176,1.218,1.246,1.275,1.048,1.055,0.9856,0.9952,0.9846,0.9875,1.677,1.86,1.379,1.505,1.117,1.106,14.03,53.13,67.72,2.788,3.517,3.45,0.2072,0.05576,0.04966,26.63,26.24,26.5,68.45
01047,2.092,3.118,4.169,8.952,,,1.582,1.969,0.7012,0.5473,,,1.093,1.095,1.116,1.081,1.213,1.274,1.21,1.326,1.044,1.059,0.9714,0.9865,0.9875,0.9896,1.698,1.873,1.401,1.531,1.102,1.072,14.87,54.39,68.49,2.9,3.441,3.508,0.5001,0.1632,0.1225,28.14,27.34,27.76,66.39
01049,3.024,5.646,,,,,3.205,5.48,0.7979,0.6712,,,1.109,1.135,1.113,1.132,1.298,1.446,1.405,1.575,1.053,1.073,0.9845,0.9912,0.9898,0.9893,2.815,3.407,1.562,1.764,1.103,1.122,2.948,20.85,30.56,2.977,3.808,4.041,4.006,1.661,1.356,25.44,25.04,25.21,22.73
01051,2.302,3.537,,,,,1.88,2.523,0.7129,0.5464,,,1.071,1.102,1.064,1.095,1.226,1.305,1.248,1.333,1.044,1.056,0.9844,1,0.9863,0.9869,1.881,2.119,1.423,1.566,1.098,1.072,10.37,44.16,56.73,2.712,3.376,3.306,0.4731,0.1474,0.1215,26.44,26.02,26.44,53.4
01053,2.239,3.336,,,,,1.758,2.295,0.7122,0.5562,,,1.06,1.081,1.082,1.057,1.158,1.205,1.217,1.289,1.048,1.058,0.9905,0.9882,0.9854,0.9879,1.677,1.845,1.393,1.519,1.072,1.071,13.82,55.97,70.27,4.025,4.94,4.823,0.2099,0.06671,0.054,26.8,26.54,26.48,71.07
01055,2.331,3.796,,,,,2.018,2.859,0.7423,0.5973,,,1.121,1.147,1.134,1.159,1.286,1.376,1.339,1.435,1.05,1.064,0.9797,0.9945,0.9907,0.9903,2.077,2.409,1.446,1.612,1.105,1.123,7.696,33.74,45.66,2.502,3.286,3.367,2.057,0.7151,0.5929,25.27,24.76,25.13,40.55
01057,2.089,3.134,3.433,7.133,,,2.563,3.852,0.7863,0.6593,,,1.112,1.129,1.152,1.139,1.318,1.391,1.413,1.466,1.049,1.06,0.9863,1.02,0.9903,0.9904,1.834,2.05,1.453,1.606,1.089,1.099,12.36,46.93,57.65,3.285,3.914,4.077,1.874,0.714,0.6221,25.32,24.98,25.83,53.18
01059,2.403,3.777,3.833,8.769,,,2.357,3.508,0.7646,0.6192,,,1.105,1.149,1.116,1.171,1.316,1.44,1.36,1.47,1.049,1.062,1.002,1.012,0.9921,0.9913,2.203,2.486,1.536,1.711,1.078,1.093,7.594,41.34,53.1,3.324,4.089,4.195,3.54,1.242,0.943,25.41,25.46,25.72,40.78
01061,2.25,3.425,,,,,1.613,2.031,0.7113,0.5589,,,1.065,1.085,1.056,1.078,1.176,1.21,1.257,1.241,1.051,1.05,0.9999,1.001,0.9856,0.9892,1.641,1.815,1.377,1.501,1.106,1.098,13.9,54.39,69.56,3.382,4.26,4.163,0.2375,0.05473,0.06219,27.26,27.26,27.29,71.2
01063,2.074,3.017,3.85,7.818,,,1.625,2.05,0.7284,0.5846,,,1.105,1.1,1.169,1.109,1.234,1.286,1.308,1.322,1.04,1.043,0.9785,1.002,0.9876,0.9899,1.733,1.907,1.415,1.547,1.089,1.064,15.44,55.07,67.3,2.544,3.004,3.055,0.9426,0.3342,0.2487,27.29,26.7,27.35,62.44
01065,1.977,2.889,3.457,7.086,,,1.601,2.022,0.6952,0.5417,,,1.104,1.088,1.158,1.098,1.215,1.264,1.265,1.314,1.035,1.045,0.9892,1.012,0.9886,0.9911,1.67,1.837,1.385,1.513,1.084,1.067,16.04,54.88,67.24,2.557,3.029,3.063,0.6161,0.1825,0.1371,26.39,26.11,26.71,66.67
01067,2.087,3.116,4.564,9.648,,,1.621,2.051,0.6911,0.5275,,,1.081,1.092,1.088,1.093,1.187,1.277,1.227,1.365,1.04,1.06,0.9847,0.9817,0.9842,0.9877,1.72,1.918,1.4,1.528,1.123,1.113,14.48,55.51,70.37,3.102,3.882,3.772,0.1985,0.04701,0.04745,27.94,27.51,27.43,68.1
01069,2.134,3.179,5.224,11.63,,,1.543,1.918,0.6894,0.5327,,,1.083,1.089,1.084,1.081,1.175,1.233,1.218,1.273,1.045,1.055,0.9849,0.9832,0.983,0.9855,1.652,1.83,1.397,1.525,1.115,1.12,15.05,59.58,75.52,2.405,3.073,3.084,0.185,0.04111,0.04165,26.07,25.67,25.63,74.37
01071,2.763,4.889,,,,,3.465,6.035,0.8029,0.6742,,,1.114,1.138,1.11,1.147,1.324,1.458,1.405,1.556,1.053,1.073,0.992,1.001,0.9904,0.9896,2.631,3.138,1.559,1.765,1.092,1.119,4.236,25.35,35.81,2.674,3.542,3.716,3.804,1.575,1.289,24.02,23.83,24.05,26.75
01073,2.085,3.16,3.762,7.882,,,2.022,2.782,0.7216,0.5711,,,1.112,1.12,1.176,1.139,1.269,1.336,1.368,1.421,1.038,1.054,0.9879,1.005,0.9899,0.99,1.944,2.187,1.482,1.641,1.096,1.092,11.68,46.34,58.06,2.369,2.992,3.062,1.309,0.3729,0.2999,24.98,24.68,25.09,50.03
01075,2.039,2.956,3.317,6.526,,,2.344,3.403,0.7783,0.6424,,,1.114,1.126,1.155,1.128,1.333,1.395,1.392,1.461,1.046,1.055,0.9772,1.006,0.9912,0.9915,1.803,1.988,1.47,1.623,1.081,1.088,13.87,53.04,64.22,3.4,4.015,4.148,1.817,0.6263,0.5277,26.46,25.85,26.62,57.39
