fips,name,name_full,state_abbr,state_name,lat,lon,land_sqmi,nca_region
01001,Autauga,Autauga County,AL,Alabama,32.5322,-86.6464,594.5,southeast
01003,Baldwin,Baldwin County,AL,Alabama,30.6592,-87.7461,1590,southeast
01005,Barbour,Barbour County,AL,Alabama,31.8703,-85.4051,885,southeast
01007,Bibb,Bibb County,AL,Alabama,33.0159,-87.1271,622.5,southeast
01009,Blount,Blount County,AL,Alabama,33.9774,-86.5664,644.9,southeast
01011,Bullock,Bullock County,AL,Alabama,32.1018,-85.7173,622.8,southeast
01013,Butler,Butler County,AL,Alabama,31.7517,-86.682,776.8,southeast
01015,Calhoun,Calhoun County,AL,Alabama,33.7705,-85.8279,605.9,southeast
01017,Chambers,Chambers County,AL,Alabama,32.9155,-85.394,596.6,southeast
01019,Cherokee,Cherokee County,AL,Alabama,34.0695,-85.6542,553.5,southeast
01021,Chilton,Chilton County,AL,Alabama,32.8541,-86.7266,692.8,southeast
01023,Choctaw,Choctaw County,AL,Alabama,31.991,-88.2489,913.5,southeast
01025,Clarke,Clarke County,AL,Alabama,31.6855,-87.8186,1238,southeast
01027,Clay,Clay County,AL,Alabama,33.2704,-85.8635,604,southeast
01029,Cleburne,Cleburne County,AL,Alabama,33.672,-85.5161,560.1,southeast
01031,Coffee,Coffee County,AL,Alabama,31.4023,-85.9896,679,southeast
01033,Colbert,Colbert County,AL,Alabama,34.7031,-87.8015,593,southeast
01035,Conecuh,Conecuh County,AL,Alabama,31.4309,-86.9887,850.3,southeast
01037,Coosa,Coosa County,AL,Alabama,32.9314,-86.2435,650.9,southeast
01039,Covington,Covington County,AL,Alabama,31.244,-86.4487,1031,southeast
01041,Crenshaw,Crenshaw County,AL,Alabama,31.7303,-86.32,608.9,southeast
01043,Cullman,Cullman County,AL,Alabama,34.1319,-86.8693,734.7,southeast
01045,Dale,Dale County,AL,Alabama,31.4307,-85.6095,561.1,southeast
01047,Dallas,Dallas County,AL,Alabama,32.3335,-87.1144,978.7,southeast
01049,DeKalb,DeKalb County,AL,Alabama,34.4609,-85.804,777.1,southeast
01051,Elmore,Elmore County,AL,Alabama,32.5972,-86.1427,618.5,southeast
01053,Escambia,Escambia County,AL,Alabama,31.1223,-87.1684,945.4,southeast
01055,Etowah,Etowah County,AL,Alabama,34.0476,-86.0343,535.1,southeast
01057,Fayette,Fayette County,AL,Alabama,33.7162,-87.7643,627.7,southeast
01059,Franklin,Franklin County,AL,Alabama,34.442,-87.8428,634,southeast
01061,Geneva,Geneva County,AL,Alabama,31.0924,-85.821,574.5,southeast
01063,Greene,Greene County,AL,Alabama,32.8445,-87.9642,647,southeast
01065,Hale,Hale County,AL,Alabama,32.7528,-87.6231,644,southeast
01067,Henry,Henry County,AL,Alabama,31.517,-85.24,561.9,southeast
01069,Houston,Houston County,AL,Alabama,31.1582,-85.2964,579.8,southeast
01071,Jackson,Jackson County,AL,Alabama,34.7641,-85.9801,1078,southeast
01073,Jefferson,Jefferson County,AL,Alabama,33.5534,-86.8965,1112,southeast
01075,Lamar,Lamar County,AL,Alabama,33.7871,-88.0874,604.8,southeast
01077,Lauderdale,Lauderdale County,AL,Alabama,34.9042,-87.6511,668,southeast
01079,Lawrence,Lawrence County,AL,Alabama,34.5298,-87.3219,690.7,southeast
01081,Lee,Lee County,AL,Alabama,32.6041,-85.353,607.6,southeast
01083,Limestone,Limestone County,AL,Alabama,34.8102,-86.9814,563.4,southeast
01085,Lowndes,Lowndes County,AL,Alabama,32.1479,-86.6506,716.1,southeast
01087,Macon,Macon County,AL,Alabama,32.387,-85.6929,608.7,southeast
01089,Madison,Madison County,AL,Alabama,34.7642,-86.5511,801.6,southeast
01091,Marengo,Marengo County,AL,Alabama,32.2476,-87.7911,976.9,southeast
01093,Marion,Marion County,AL,Alabama,34.1382,-87.8816,742.3,southeast
01095,Marshall,Marshall County,AL,Alabama,34.3096,-86.3217,565.9,southeast
01097,Mobile,Mobile County,AL,Alabama,30.6846,-88.1966,1229,southeast
01099,Monroe,Monroe County,AL,Alabama,31.5804,-87.3833,1026,southeast
01101,Montgomery,Montgomery County,AL,Alabama,32.2029,-86.2045,785.4,southeast
01103,Morgan,Morgan County,AL,Alabama,34.4545,-86.8464,579.7,southeast
01105,Perry,Perry County,AL,Alabama,32.639,-87.2938,719.7,southeast
01107,Pickens,Pickens County,AL,Alabama,33.2968,-88.0969,881.4,southeast
01109,Pike,Pike County,AL,Alabama,31.7987,-85.9416,672.1,southeast
01111,Randolph,Randolph County,AL,Alabama,33.2965,-85.4641,580.5,southeast
01113,Russell,Russell County,AL,Alabama,32.2898,-85.187,641.2,southeast
01115,St. Clair,St. Clair County,AL,Alabama,33.7195,-86.3113,631.6,southeast
01117,Shelby,Shelby County,AL,Alabama,33.2669,-86.661,785.5,southeast
01119,Sumter,Sumter County,AL,Alabama,32.5975,-88.2001,903.8,southeast
01121,Talladega,Talladega County,AL,Alabama,33.3693,-86.1759,736.8,southeast
01123,Tallapoosa,Tallapoosa County,AL,Alabama,32.8633,-85.7996,716.5,southeast
01125,Tuscaloosa,Tuscaloosa County,AL,Alabama,33.2902,-87.5228,1321,southeast
01127,Walker,Walker County,AL,Alabama,33.7916,-87.3011,791,southeast
01129,Washington,Washington County,AL,Alabama,31.4085,-88.2124,1080,southeast
01131,Wilcox,Wilcox County,AL,Alabama,31.9901,-87.3049,887.9,southeast
01133,Winston,Winston County,AL,Alabama,34.1546,-87.3653,613,southeast
02013,Aleutians East,Aleutians East Borough,AK,Alaska,55.245,-161.9975,6986,alaska
02016,Aleutians West,Aleutians West Census Area,AK,Alaska,51.949,179.6212,4393,alaska
02020,Anchorage,Anchorage Municipality,AK,Alaska,61.1743,-149.2843,1707,alaska
02050,Bethel,Bethel Census Area,AK,Alaska,60.9291,-160.1526,40660,alaska
02060,Bristol Bay,Bristol Bay Borough,AK,Alaska,58.7305,-156.9945,481.4,alaska
02063,Chugach,Chugach Census Area,AK,Alaska,60.4885,-146.2031,9575,alaska
02066,Copper River,Copper River Census Area,AK,Alaska,62.0345,-143.9222,24650,alaska
02068,Denali,Denali Borough,AK,Alaska,63.682,-150.027,12640,alaska
02070,Dillingham,Dillingham Census Area,AK,Alaska,59.5433,-158.2671,18340,alaska
02090,Fairbanks North Star,Fairbanks North Star Borough,AK,Alaska,64.6705,-146.4961,7335,alaska
02100,Haines,Haines Borough,AK,Alaska,59.0984,-135.5758,2335,alaska
02105,Hoonah-Angoon,Hoonah-Angoon Census Area,AK,Alaska,58.4033,-135.8849,6560,alaska
02110,Juneau,Juneau City and Borough,AK,Alaska,58.3729,-134.1784,2703,alaska
02122,Kenai Peninsula,Kenai Peninsula Borough,AK,Alaska,60.3667,-152.3223,16020,alaska
02130,Ketchikan Gateway,Ketchikan Gateway Borough,AK,Alaska,55.4499,-131.1067,4857,alaska
02150,Kodiak Island,Kodiak Island Borough,AK,Alaska,57.7044,-153.9184,6689,alaska
02158,Kusilvak,Kusilvak Census Area,AK,Alaska,62.2836,-163.1902,17080,alaska
02164,Lake and Peninsula,Lake and Peninsula Borough,AK,Alaska,58.1085,-156.4134,23830,alaska
02170,Matanuska-Susitna,Matanuska-Susitna Borough,AK,Alaska,62.2656,-149.504,24710,alaska
