old_fips,region_fips,land_share_of_old,land_share_of_region,towns
09001,09120,0.2243,1,6
09001,09140,0.04901,0.07421,1
09001,09190,0.7267,0.8535,16
09003,09110,0.8788,0.6286,26
09003,09140,0.03592,0.06395,1
09003,09160,0.08531,0.0797,2
09005,09140,0.1289,0.2874,5
09005,09160,0.7864,0.9203,19
09005,09190,0.08469,0.1465,2
09007,09130,1,0.8708,15
09009,09140,0.3924,0.5745,12
09009,09170,0.6076,1,15
09011,09130,0.08241,0.1292,2
09011,09150,0.05859,0.07035,1
09011,09180,0.859,0.9551,18
09013,09110,0.9297,0.3714,12
09013,09150,0.0703,0.05209,1
09015,09150,0.9477,0.8776,14
09015,09180,0.05234,0.04488,1
