fips,event_type,rate_per_year,share_damaging,median_days,p90_days,events,share_injury,source,years
01001,drought,1.367,0,30,31,41,0,storm_events,1996-2025
01001,extreme_cold,0.1333,0.25,1.833,3.083,4,0,storm_events,1996-2025
01001,flash_flood,0.8333,0.64,0.08333,0.2083,25,0,storm_events,1996-2025
01001,flood,0.1,0,1.281,2.958,3,0,storm_events,1996-2025
01001,hail_1in_day,0.9667,0.3793,,,29,0,spc,1996-2025
01001,hail_2in_day,0.1,0.6667,,,3,0,spc,1996-2025
01001,heat,0.2667,0,1.208,15.25,8,0.25,storm_events,1996-2025
01001,high_wind,0.1,0.6667,0.001389,0.3542,3,0,storm_events,1996-2025
01001,hurricane_passage,0.01316,,,,1,,hurdat2,1950-2025
01001,ice_storm,0.03333,0,1,1,1,0,storm_events,1996-2025
01001,severe_wind_65kt_day,0.1667,0.8,,,5,0.4,spc,1996-2025
01001,severe_wind_day,3.667,0.5545,,,110,0.01818,spc,1996-2025
01001,tornado,1.2,0.5556,,,36,0.1667,spc,1996-2025
01001,tornado_ef2plus,0.2333,0.7143,,,7,0.7143,spc,1996-2025
01001,tropical_cyclone_impact,0.2,0.6667,0.3333,2.333,6,0,storm_events,1996-2025
01001,tropical_storm_passage,0.06579,,,,5,,hurdat2,1950-2025
01001,winter_storm,0.2333,0.2857,0.4083,1.333,7,0,storm_events,1996-2025
01003,coastal_flood,0.4,0.1667,0.375,1.292,12,0.08333,storm_events,1996-2025
01003,flash_flood,2.833,0.2706,0.1062,0.6736,85,0.01176,storm_events,1996-2025
01003,flood,0.2,0.1667,0.04375,0.1667,6,0.1667,storm_events,1996-2025
01003,hail_1in_day,1.833,0.07273,,,55,0,spc,1996-2025
01003,hail_2in_day,0.06667,0,,,2,0,spc,1996-2025
01003,hurricane_passage,0.1316,,,,10,,hurdat2,1950-2025
01003,major_hurricane_passage,0.06579,,,,5,,hurdat2,1950-2025
01003,severe_wind_65kt_day,0.3333,0.6,,,10,0.2,spc,1996-2025
01003,severe_wind_day,4.8,0.6528,,,144,0.04167,spc,1996-2025
01003,tornado,2,0.5167,,,60,0.03333,spc,1996-2025
01003,tornado_ef2plus,0.1333,0.75,,,4,0.25,spc,1996-2025
01003,tropical_cyclone_impact,0.2333,0.2857,0.4167,1.292,7,0.1429,storm_events,1996-2025
01003,tropical_storm_passage,0.2763,,,,21,,hurdat2,1950-2025
01003,winter_storm,0.03333,0,0.4792,0.4792,1,0,storm_events,1996-2025
01005,drought,1.8,0,30,31,54,0,storm_events,1996-2025
01005,extreme_cold,0.1333,0.25,1.833,3.083,4,0,storm_events,1996-2025
01005,flash_flood,0.2667,0.625,0.1042,0.6875,8,0,storm_events,1996-2025
01005,hail_1in_day,0.6667,0.5,,,20,0,spc,1996-2025
01005,hail_2in_day,0.1,0.3333,,,3,0,spc,1996-2025
01005,heat,0.3667,0,1.292,4.625,11,0.09091,storm_events,1996-2025
01005,high_wind,0.03333,1,0.375,0.375,1,0,storm_events,1996-2025
01005,hurricane_passage,0.01316,,,,1,,hurdat2,1950-2025
01005,ice_storm,0.03333,0,0.7153,0.7153,1,0,storm_events,1996-2025
01005,severe_wind_65kt_day,0.03333,0,,,1,0,spc,1996-2025
01005,severe_wind_day,2.167,0.4462,,,65,0.01538,spc,1996-2025
01005,tornado,1.167,0.3714,,,35,0.05714,spc,1996-2025
01005,tornado_ef2plus,0.1667,0.4,,,5,0,spc,1996-2025
01005,tropical_cyclone_impact,0.2,0.6667,0.3333,2.333,6,0,storm_events,1996-2025
01005,tropical_storm_passage,0.06579,,,,5,,hurdat2,1950-2025
01005,winter_storm,0.06667,0,0.3333,0.375,2,0,storm_events,1996-2025
01007,drought,1.4,0,30,31,42,0,storm_events,1996-2025
01007,extreme_cold,0.1333,0.25,1.833,3.083,4,0,storm_events,1996-2025
01007,flash_flood,0.4,0.6667,0.1181,0.3333,12,0,storm_events,1996-2025
01007,flood,0.1,0,1.5,2.958,3,0,storm_events,1996-2025
01007,hail_1in_day,0.7667,0.3043,,,23,0,spc,1996-2025
01007,hail_2in_day,0.1,1,,,3,0,spc,1996-2025
01007,heat,0.2667,0,1.25,15.25,8,0.125,storm_events,1996-2025
01007,high_wind,0.06667,1,0.08333,0.2917,2,0,storm_events,1996-2025
01007,ice_storm,0.06667,0.5,0.9965,1.5,2,0,storm_events,1996-2025
01007,severe_wind_65kt_day,0.1333,0.5,,,4,0,spc,1996-2025
01007,severe_wind_day,2.433,0.4932,,,73,0.0137,spc,1996-2025
01007,tornado,0.9,0.4074,,,27,0.1481,spc,1996-2025
01007,tornado_ef2plus,0.1667,0.2,,,5,0.8,spc,1996-2025
01007,tropical_cyclone_impact,0.1667,0.6,0.4167,2.333,5,0,storm_events,1996-2025
01007,tropical_storm_passage,0.05263,,,,4,,hurdat2,1950-2025
01007,winter_storm,0.2667,0.375,0.3333,1.708,8,0,storm_events,1996-2025
01009,drought,1.2,0,30,31,36,0,storm_events,1996-2025
01009,extreme_cold,0.1333,0.25,1.833,3.083,4,0,storm_events,1996-2025
01009,flash_flood,1.2,0.5278,0.08333,0.2708,36,0,storm_events,1996-2025
01009,flood,0.1667,0,0.1694,0.3542,5,0,storm_events,1996-2025
01009,hail_1in_day,1.333,0.25,,,40,0,spc,1996-2025
01009,hail_2in_day,0.1667,0.2,,,5,0,spc,1996-2025
01009,heat,0.2,0,0.2917,15.25,6,0.3333,storm_events,1996-2025
01009,high_wind,0.1667,0.8,0.1458,0.4583,5,0,storm_events,1996-2025
01009,ice_storm,0.1,0.6667,0.4688,2.292,3,0,storm_events,1996-2025
01009,severe_wind_65kt_day,0.1333,0.5,,,4,0,spc,1996-2025
01009,severe_wind_day,4.867,0.5342,,,146,0.02055,spc,1996-2025
01009,tornado,1.3,0.4872,,,39,0.1795,spc,1996-2025
01009,tornado_ef2plus,0.4,0.75,,,12,0.5,spc,1996-2025
01009,tropical_cyclone_impact,0.1667,0.8,0.375,2.333,5,0,storm_events,1996-2025
01009,tropical_storm_passage,0.03947,,,,3,,hurdat2,1950-2025
01009,winter_storm,0.5,0.2,0.4583,1.333,15,0,storm_events,1996-2025
01011,drought,1.733,0,30,31,52,0,storm_events,1996-2025
01011,extreme_cold,0.1333,0.25,1.833,3.083,4,0,storm_events,1996-2025
01011,flash_flood,0.3333,0.6,0.1875,0.2292,10,0,storm_events,1996-2025
01011,hail_1in_day,0.2,0.6667,,,6,0,spc,1996-2025
01011,heat,0.2,0,2.208,15.25,6,0,storm_events,1996-2025
01011,high_wind,0.03333,1,0.375,0.375,1,0,storm_events,1996-2025
01011,hurricane_passage,0.01316,,,,1,,hurdat2,1950-2025
