fips,nearest_nuclear_km,tri_facilities,high_hazard_dams,nuclear_within_16km,nuclear_within_80km,significant_hazard_dams
01001,205.4,2,2,false,false,7
01003,259,14,0,false,false,1
01005,77.15,7,0,false,true,1
01007,187.7,1,1,false,false,3
01009,95.42,1,19,false,true,6
01011,113.3,2,0,false,false,9
01013,160.1,3,0,false,false,6
01015,157.7,19,7,false,false,7
01017,190.1,4,3,false,false,5
01019,138.6,2,6,false,false,1
01021,208.9,4,3,false,false,13
01023,263.9,1,0,false,false,4
01025,261.9,5,0,false,false,8
01027,197,3,1,false,false,14
01029,177.2,1,8,false,false,3
01031,85.76,6,4,false,true,5
01033,62.4,14,1,false,true,0
01035,179.8,3,1,false,false,3
01037,213.1,1,1,false,false,1
01039,127.1,1,2,false,false,0
01041,127.7,0,1,false,false,4
01043,67.63,14,6,false,true,7
01045,52.63,8,2,false,true,2
01047,226,3,5,false,false,31
01049,107.1,12,8,false,true,1
01051,181.2,2,7,false,false,8
01053,196,11,1,false,false,6
01055,123.4,10,6,false,false,0
01057,124.9,4,2,false,false,6
01059,72.41,8,4,false,true,2
01061,69.05,1,0,false,true,0
01063,221.1,1,0,false,false,4
01065,221.9,1,1,false,false,24
01067,34.88,2,0,true,true,0
01069,19,11,2,true,true,2
01071,95.89,6,1,false,true,1
01073,129.6,55,20,false,false,13
01075,135.4,3,1,false,false,2
01077,53.44,8,2,true,true,2
01079,26.85,3,1,true,true,1
01081,155.2,8,8,false,false,6
01083,17.23,16,2,true,true,3
01085,178.3,2,0,false,false,17
01087,140.6,0,2,false,false,1
01089,52.31,25,2,false,true,4
01091,277.8,5,1,false,false,12
01093,94.1,9,1,false,true,8
01095,85.21,15,2,false,true,1
01097,231.4,47,2,false,false,3
01099,219.2,3,0,false,false,4
01101,150.2,21,4,false,false,26
01103,37.33,27,0,true,true,0
01105,230.2,0,0,false,false,23
01107,180.6,5,1,false,false,7
01109,101.4,7,0,false,true,0
01111,217.3,2,3,false,false,3
01113,118.8,4,4,false,false,4
01115,132.3,13,2,false,false,17
01117,165.3,16,23,false,false,30
01119,254.7,2,0,false,false,12
01121,172,22,10,false,false,10
01123,193.6,2,1,false,false,3
01125,161.6,24,26,false,false,15
01127,102.8,8,3,false,true,6
01129,267.1,8,0,false,false,5
01131,224.5,1,0,false,false,5
01133,65.16,10,1,false,true,4
02013,3094,2,0,false,false,2
02016,4344,2,0,false,false,7
02020,2518,7,5,false,false,2
02050,3059,1,0,false,false,1
02060,2834,0,0,false,false,0
02063,2335,2,3,false,false,1
02066,2327,0,0,false,false,0
02068,2686,2,0,false,false,0
02070,2924,0,0,false,false,0
02090,2606,13,2,false,false,2
02100,1769,0,0,false,false,0
02105,1728,0,0,false,false,1
02110,1655,3,2,false,false,2
02122,2633,3,3,false,false,2
02130,1291,1,5,false,false,2
02150,2633,0,2,false,false,7
02158,3248,0,0,false,false,0
02164,2786,0,0,false,false,0
02170,2585,1,0,false,false,2
02180,3362,1,0,false,false,0
02185,3167,2,0,false,false,2
02188,3266,2,2,false,false,2
02195,1506,0,1,false,false,2
02198,1403,0,2,false,false,2
02220,1615,0,1,false,false,1
02230,1797,0,0,false,false,0
02240,2427,4,1,false,false,0
02275,1390,0,2,false,false,0
02282,2041,0,0,false,false,0
02290,2847,0,0,false,false,2
04001,380.8,2,27,false,false,7
04003,336.4,4,3,false,false,1
04005,289.2,7,15,false,false,3
04007,195,5,3,false,false,3
04009,282.3,2,23,false,false,5
04011,336.7,1,1,false,false,1
04012,115.4,1,2,false,true,0
04013,34.03,194,50,true,true,2
04015,271.5,10,3,false,false,3
04017,322.4,2,12,false,false,5
04019,172.6,28,9,false,false,4
04021,148.7,34,11,false,true,3
04023,280.5,3,2,false,false,0
04025,140.7,7,8,false,true,0
04027,119.2,9,0,false,true,1
05001,204.2,5,0,false,false,2
05003,148,4,0,false,false,0
05005,135.2,5,4,false,false,2
05007,146.7,18,5,false,false,8
05009,111.3,5,0,false,false,0
05011,193.1,1,0,false,false,0
05013,205.6,2,0,false,false,0
05015,117.4,2,4,false,false,1
05017,141.9,0,0,false,false,0
05019,140,5,5,false,false,0
05021,279.7,1,1,false,false,0
05023,115.4,3,4,false,false,2
05025,184.5,1,0,false,false,0
05027,232.2,8,0,false,false,1
05029,49.8,5,3,false,true,10
05031,242.4,14,15,false,false,7
05033,95.6,4,5,false,true,2
05035,266.3,7,0,false,false,0
05037,224.3,0,4,false,false,4
05039,158.5,0,0,false,false,1
05041,203.3,3,0,false,false,3
05043,186.6,2,1,false,false,1
05045,83.61,7,1,false,true,5
05047,63.09,5,0,false,true,6
05049,174.5,0,2,false,false,2
05051,81.8,5,11,false,true,9
05053,136,2,0,false,false,1
05055,257.2,10,5,false,false,2
05057,179.5,10,1,false,false,0
05059,113.9,5,2,false,false,2
05061,153,5,3,false,false,2
05063,158.8,8,0,false,false,4
05065,147.8,1,0,false,false,1
05067,185,3,0,false,false,0
05069,165.6,13,0,false,false,7
05071,35.92,5,2,true,true,1
05073,232.8,0,0,false,false,1
05075,209.1,2,1,false,false,5
05077,231.2,0,0,false,false,0
05079,203.3,0,0,false,false,2
05081,201.1,2,2,false,false,3
05083,45.28,2,6,true,true,11
05085,136.9,3,0,false,false,8
05087,89.64,3,0,false,true,0
05089,117.5,5,1,false,false,0
05091,231.2,4,2,false,false,3
05093,291.4,25,0,false,false,0
05095,197.9,0,0,false,false,0
05097,93.66,0,2,false,true,4
