fips,sfha_home_share,claims_per_1000_policies_year,mean_paid_usd,residential_structures,residential_structures_sfha,policies_in_force,sfha_policy_share,claims_per_year,sfha_share_basis
01001,0.03021,7.387,15260,20790,628,185,0.2197,1.367,structures
01003,0.1072,58.5,43750,97390,10440,9007,0.6362,526.9,structures
01005,0.01492,14.44,59640,10460,156,30,0.1346,0.4333,structures
01007,0.03198,13.73,1480,7693,246,17,0.05285,0.2333,structures
01009,0.008501,13.04,10780,22590,192,23,0.08854,0.3,structures
01011,0.03788,22.22,30730,3986,151,3,0.01325,0.06667,structures
01013,0.008917,11.11,,8411,75,3,0.02667,0.03333,structures
01015,0.03374,7.648,15180,46410,1566,292,0.1603,2.233,structures
01017,0.008798,22.22,26910,14660,129,24,0.1318,0.5333,structures
01019,0.07252,4.51,21980,13330,967,170,0.1448,0.7667,structures
01021,0.01316,2.667,2344,17020,224,25,0.05357,0.06667,structures
01023,0.06877,25.93,22330,7576,521,27,0.03839,0.7,structures
01025,0.01208,20.24,47230,9602,116,28,0.1983,0.5667,structures
01027,0.009194,,,6200,57,0,0,0,structures
01029,0.02003,0,,6341,127,3,0.02362,0,structures
01031,0.01878,75.06,25600,24860,467,151,0.2013,11.33,structures
01033,0.01858,28.4,19720,24010,446,81,0.1143,2.3,structures
01035,0.007321,11.11,,5737,42,3,0.02381,0.03333,structures
01037,0.02352,16.67,31010,5569,131,18,0.08397,0.3,structures
01039,0.03299,13.04,17990,18640,615,92,0.1382,1.2,structures
01041,0.00921,11.11,,6732,62,3,0.03226,0.03333,structures
01043,0.008323,10.39,24390,35680,297,77,0.1852,0.8,structures
01045,0.006289,28.86,25210,20040,126,67,0.2619,1.933,structures
01047,0.1364,8.333,15820,16960,2312,192,0.07742,1.6,structures
01049,0.01581,10.46,46990,32260,510,51,0.07255,0.5333,structures
01051,0.02488,4.93,15980,28940,720,311,0.325,1.533,structures
01053,0.03403,48.06,20280,16280,554,86,0.1011,4.133,structures
01055,0.0165,11.48,9557,42120,695,212,0.2518,2.433,structures
01057,0.01812,0,,8170,148,15,0.08784,0,structures
01059,0.01244,8.889,17360,12940,161,15,0.06832,0.1333,structures
01061,0.01987,57.58,20130,13080,260,55,0.1231,3.167,structures
01063,0.1329,20.29,21370,3867,514,69,0.1304,1.4,structures
01065,0.1275,29.63,12110,6511,830,63,0.07108,1.867,structures
01067,0.01982,15.48,47400,8778,174,28,0.1034,0.4333,structures
01069,0.01666,15.38,27390,42860,714,312,0.2773,4.8,structures
01071,0.03784,13.39,10700,23650,895,117,0.1073,1.567,structures
01073,0.02311,51.4,18940,241900,5592,1129,0.1309,58.03,structures
01075,0.03477,4.762,1731,6068,211,14,0.05213,0.06667,structures
01077,0.02079,28.39,12420,39630,824,128,0.09951,3.633,structures
01079,0.02419,17.82,21610,14380,348,58,0.1437,1.033,structures
01081,0.01916,6.133,16470,51560,988,250,0.1387,1.533,structures
01083,0.01235,6.422,16820,36520,451,218,0.1907,1.4,structures
01085,0.08218,2.151,5304,3845,316,62,0.1804,0.1333,structures
01087,0.03085,10.42,18650,8687,268,16,0.01866,0.1667,structures
01089,0.0334,6.354,17600,137500,4593,3053,0.3841,19.4,structures
01091,0.05496,5.556,9439,8461,465,66,0.1247,0.3667,structures
01093,0.01275,12.12,21050,12950,165,22,0.07879,0.2667,structures
01095,0.009458,18.31,31030,38380,363,71,0.1129,1.3,structures
01097,0.06313,57.32,34140,150000,9472,5422,0.4515,310.8,structures
01099,0.02045,25,10820,9194,188,8,0.03723,0.2,structures
01101,0.03538,12.64,26940,82950,2935,725,0.1274,9.167,structures
01103,0.02144,9.703,18450,44880,962,426,0.316,4.133,structures
01105,0.02276,0,,4393,100,2,0.01,0,structures
01107,0.05523,32.18,15530,6717,371,58,0.1456,1.867,structures
01109,0.005305,0,,13200,70,12,0.05714,0,structures
01111,0.00846,2.222,15830,12060,102,15,0.08824,0.03333,structures
01113,0.01245,24.44,30740,20640,257,60,0.1323,1.467,structures
01115,0.01946,7.752,17560,33510,652,301,0.388,2.333,structures
01117,0.01242,31.3,28450,76020,944,491,0.3072,15.37,structures
01119,0.07067,9.009,22310,6368,450,37,0.05778,0.3333,structures
01121,0.05245,7.849,25020,33520,1758,310,0.1416,2.433,structures
01123,0.0169,2.381,19180,19700,333,84,0.1471,0.2,structures
01125,0.0206,10.64,19080,65480,1349,539,0.301,5.733,structures
01127,0.01954,21.43,15980,29430,575,70,0.09565,1.5,structures
01129,0.03473,40.74,9319,8178,284,9,0.02817,0.3667,structures
01131,0.1156,2.632,10250,4707,544,38,0.0625,0.1,structures
01133,0.008831,11.11,28210,12460,110,30,0.2364,0.3333,structures
02013,0,,,623,0,0,,0,structures
02016,0,,,949,0,0,,0,structures
02020,0.00199,5.027,9639,77880,0,305,,1.533,policies_lower_bound
02050,0.02359,5.975,8774,4409,0,106,,0.6333,policies_lower_bound
02060,0,,,846,0,0,,0,structures
02063,0.0067,2.976,16590,2388,0,28,,0.08333,policies_lower_bound
02066,0,,16590,1774,0,0,,0.08333,structures
02068,0,,,1227,0,0,,0,structures
02070,0,,,1804,0,0,,0,structures
02090,0.05635,8.999,16050,30290,1707,563,0.2601,5.067,structures
02100,0.001574,0,,1271,0,9,,0,policies_lower_bound
02105,0,,,1268,0,0,,0,structures
02110,0.01908,3.21,64300,9118,174,945,0.8793,3.033,structures
02122,0.00928,6.25,14150,34160,317,288,0.612,1.8,structures
02130,0.01208,5,10600,4138,0,60,,0.3,policies_lower_bound
02150,0,,,4032,0,0,,0,structures
02158,0.006145,6.061,13410,1790,0,11,,0.06667,policies_lower_bound
02164,0.0008361,,,1196,1,0,0,0,structures
