fips,geomag_lat,geomag_factor
01001,41.4,0.12
01003,39.5,0.1
01005,40.8,0.11
01007,41.9,0.12
01009,42.9,0.14
01011,41,0.11
01013,40.7,0.11
01015,42.7,0.14
01017,41.9,0.12
01019,43,0.14
01021,41.8,0.12
01023,40.8,0.11
01025,40.5,0.11
01027,42.2,0.13
01029,42.6,0.13
01031,40.3,0.1
01033,43.6,0.15
01035,40.3,0.1
01037,41.9,0.12
01039,40.2,0.1
01041,40.7,0.11
01043,43,0.14
01045,40.4,0.1
01047,41.2,0.11
01049,43.4,0.15
01051,41.5,0.12
01053,40,0.1
01055,43,0.14
01057,42.6,0.13
01059,43.3,0.15
01061,40,0.1
01063,41.7,0.12
01065,41.6,0.12
01067,40.5,0.11
01069,40.1,0.1
01071,43.7,0.15
01073,42.4,0.13
01075,42.6,0.13
01077,43.8,0.15
01079,43.4,0.15
01081,41.6,0.12
01083,43.7,0.15
01085,41.1,0.11
01087,41.3,0.12
01089,43.7,0.15
01091,41.1,0.11
01093,43,0.14
01095,43.2,0.14
01097,39.5,0.1
01099,40.5,0.1
01101,41.1,0.11
01103,43.4,0.15
01105,41.5,0.12
01107,42.1,0.13
01109,40.7,0.11
01111,42.3,0.13
01113,41.3,0.11
01115,42.6,0.13
01117,42.2,0.13
01119,41.4,0.12
01121,42.3,0.13
01123,41.8,0.12
01125,42.2,0.13
01127,42.7,0.14
01129,40.2,0.1
01131,40.9,0.11
01133,43,0.14
02013,54.3,0.52
02016,48.4,0.26
02020,62,1
02050,60,1
02060,58.4,0.83
02063,61.8,1
02066,63.6,1
02068,64.2,1
02070,59,0.89
02090,65.7,1
02100,62.2,1
02105,61.5,1
02110,61.7,1
02122,60.7,1
02130,59.4,0.93
02150,57.9,0.78
02158,60.8,1
02164,57.9,0.78
02170,63,1
02180,63,1
02185,69,1
02188,65.7,1
02195,60.7,1
02198,59.3,0.92
02220,60.4,1
02230,62.7,1
02240,65.5,1
02275,60,0.99
02282,62.3,1
02290,65.5,1
04001,42.5,0.13
04003,39,0.1
04005,42.7,0.14
04007,40.8,0.11
04009,40.1,0.1
04011,40.4,0.1
04012,40.4,0.1
04013,40.2,0.1
04015,42.4,0.13
04017,42.5,0.13
04019,39.1,0.1
04021,39.9,0.1
04023,38.6,0.1
