fips,karst_share,landslide_susceptible_share
01001,0.0268,0.61
01003,0,0.177
01005,0.139,0.466
01007,0.129,0.775
01009,0.226,0.717
01011,0.303,0.331
01013,0.277,0.308
01015,0.512,0.672
01017,0,0.429
01019,0.58,0.52
01021,0.0584,0.675
01023,0.0746,0.574
01025,0.394,0.62
01027,0,0.874
01029,0.0254,0.918
01031,0.0629,0.455
01033,0.615,0.572
01035,0.701,0.314
01037,0.0209,0.843
01039,0.656,0.256
01041,0.289,0.398
01043,0.00256,0.673
01045,0.0777,0.48
01047,0.263,0.314
01049,0.211,0.461
01051,0.00177,0.511
01053,0.61,0.312
01055,0.469,0.53
01057,0,0.781
01059,0.31,0.739
01061,0.82,0.167
01063,0.164,0.313
01065,0.194,0.399
01067,0.209,0.41
01069,0.854,0.11
01071,0.607,0.608
01073,0.21,0.83
01075,0,0.719
01077,0.355,0.513
01079,0.596,0.38
01081,0,0.452
01083,0.472,0.252
01085,0.509,0.335
01087,0.073,0.323
01089,0.618,0.299
01091,0.305,0.307
01093,0,0.797
01095,0.31,0.502
01097,0,0.3
01099,0.406,0.476
01101,0.504,0.157
01103,0.558,0.372
01105,0.276,0.525
01107,0.0442,0.544
01109,0.303,0.458
01111,0,0.799
01113,0.0263,0.382
01115,0.461,0.685
01117,0.3,0.72
01119,0.453,0.356
01121,0.593,0.641
01123,0,0.718
01125,0.0192,0.779
01127,0,0.824
01129,0.366,0.24
01131,0.299,0.443
01133,0,0.884
02013,0.002,0.532
02016,0.00587,0.751
02020,0,0.811
02050,0.0178,0.302
02060,0,0.104
02063,0,0.649
02066,0.0193,0.649
02068,0.0422,0.545
02070,0.00273,0.373
02090,0,0.631
02100,0.0659,0.857
02105,0.0652,0.801
02110,0.00427,0.768
02122,0.00489,0.723
02130,0.00486,0.918
02150,0,0.771
02158,0.0000641,0.164
02164,0.00211,0.475
02170,0.0238,0.67
02180,0.154,0.331
02185,0.0883,0.305
02188,0.0809,0.364
02195,0.00202,0.744
02198,0.125,0.833
02220,0.0154,0.863
02230,0,0.893
02240,0.0149,0.619
02275,0.00564,0.889
02282,0,0.622
02290,0.0498,0.392
04001,0.0951,0.359
04003,0.0556,0.399
04005,0.531,0.402
04007,0.337,0.854
04009,0.00791,0.611
04011,0.0167,0.861
04012,0.00505,0.386
04013,0.00276,0.318
04015,0.312,0.585
04017,0.268,0.393
04019,0.0137,0.337
04021,0.0366,0.364
04023,0.0337,0.828
04025,0.118,0.647
04027,0.000769,0.234
05001,0,0.0757
05003,0.00535,0.0761
05005,0.945,0.788
05007,0.925,0.628
05009,0.844,0.773
05011,0.118,0.0904
05013,0,0.0606
