fips,population,building_value_usd,eal_valt,sovi_score,resl_score,crf_value,coastal,tsunami_zone
01001,58760,10240000000,19760000,38.04,55.12,1.038,false,false
01003,231400,51600000000,237400000,44.24,93,1.067,true,false
01005,25160,5442000000,8924000,96.37,11.16,1.793,false,false
01007,22240,3533000000,8994000,75.25,22.17,1.409,false,false
01009,58990,8773000000,21290000,69.34,15.65,1.348,false,false
01011,10330,1772000000,5129000,97.55,33.14,1.732,false,false
01013,19020,3871000000,9390000,91.76,50.03,1.586,false,false
01015,116200,25470000000,53780000,81.49,48.44,1.446,false,false
01017,34740,6728000000,10900000,79.42,41.44,1.434,false,false
01019,24930,4977000000,16130000,81.81,16.13,1.504,false,false
01021,45000,7534000000,16120000,52.61,21.44,1.174,false,false
01023,12630,7010000000,20590000,79.71,12.79,1.479,false,false
01025,23040,4628000000,13320000,74.11,35.85,1.379,true,false
01027,14210,2863000000,5935000,89.41,49.9,1.556,false,false
01029,15040,2418000000,6039000,84.26,8.333,1.568,false,false
01031,53390,25040000000,43010000,59.57,42.4,1.223,false,false
01033,57130,13470000000,34940000,69.82,68.07,1.299,false,false
01035,11580,2431000000,6237000,93.29,17.4,1.69,false,false
01037,10320,2195000000,4940000,62.09,36.45,1.251,false,false
01039,37520,7597000000,33120000,86.74,40.43,1.533,false,false
01041,13180,2878000000,7201000,90.3,32.67,1.598,false,false
01043,87660,16400000000,34820000,75.67,33.68,1.396,false,false
01045,49220,9934000000,18520000,81.87,15.78,1.506,false,false
01047,38340,7808000000,18520000,95.87,50,1.651,false,false
01049,71380,13850000000,31590000,74.68,13.45,1.417,false,false
01051,87760,14040000000,28730000,49.08,61.42,1.121,false,false
01053,36710,7709000000,36190000,89.69,26.53,1.601,false,false
01055,103300,21330000000,50260000,77.99,57.57,1.395,false,false
01057,16300,3434000000,8593000,78.85,24.05,1.447,false,false
01059,32000,6310000000,17190000,89.92,17.72,1.622,false,false
01061,26620,5178000000,11750000,87.66,29.77,1.562,false,false
01063,7714,1504000000,5594000,98.12,21.15,1.784,false,false
01065,14750,2725000000,7836000,90.62,22.65,1.617,false,false
01067,17070,3623000000,8538000,93.38,46.69,1.615,false,false
01069,107100,26670000000,55200000,72.23,75.95,1.319,false,false
01071,52500,11840000000,29370000,77.74,27.13,1.43,false,false
01073,673800,143700000000,262400000,56.2,79.99,1.167,false,false
01075,13960,2709000000,7600000,74.9,25.48,1.397,false,false
01077,93510,19130000000,53790000,46.85,61.04,1.103,false,false
01079,33010,5939000000,20550000,78.72,32.57,1.436,false,false
01081,173900,33140000000,40360000,42.68,52,1.074,false,false
01083,101100,19630000000,47630000,23.76,76.18,0.919,false,false
01085,10310,1944000000,5480000,99.62,26.65,1.806,false,false
01087,19490,3576000000,5359000,92.46,55.79,1.586,false,false
01089,387800,83740000000,179600000,26.62,83.68,0.9398,false,false
01091,19290,3671000000,10390000,96.88,35.37,1.712,false,false
01093,29280,6137000000,16560000,95.1,9.606,1.773,false,false
01095,97550,19490000000,50220000,75.35,39.03,1.386,false,false
01097,414500,85340000000,298200000,53.94,79.68,1.149,true,false
01099,19740,4164000000,10330000,87.82,23.54,1.574,true,false
01101,228800,51890000000,87270000,71.34,72.46,1.311,false,false
01103,123300,24320000000,65070000,60.88,47.93,1.231,false,false
01105,8480,1634000000,4130000,98.95,30.76,1.768,false,false
01107,19100,3386000000,8944000,91.67,18.32,1.651,false,false
01109,32960,7311000000,10730000,74.49,57.6,1.356,false,false
01111,21930,4377000000,7894000,66.92,23.82,1.314,false,false
01113,59130,8941000000,14740000,63.45,14.22,1.286,false,false
01115,90900,14720000000,32600000,30.44,42.05,0.9862,false,false
01117,222800,47390000000,105800000,16.57,74.01,0.8505,false,false
01119,12320,3633000000,9905000,99.27,14.76,1.835,false,false
01121,81990,16850000000,37010000,86.55,40.46,1.529,false,false
01123,41280,9593000000,19150000,80.76,44.56,1.443,false,false
01125,226700,42200000000,83150000,55.18,71.85,1.164,false,false
01127,65280,13350000000,34840000,80.15,22.71,1.465,false,false
01129,15330,2580000000,10780000,78.82,60.27,1.402,true,false
01131,10550,2671000000,6874000,97.07,19.59,1.764,false,false
01133,23480,5463000000,12420000,95.99,16.63,1.748,false,false
02013,3374,513900000,4084000,99.9,0.7316,1.942,false,true
02016,5168,1925000000,29250000,22.04,0.4771,0.9415,false,true
02020,291000,72280000000,366800000,11.39,34.8,0.7894,true,true
02050,18630,2908000000,8285000,99.97,39.06,1.766,false,true
02060,843,732200000,1391000,43.96,29.29,1.095,false,false
02063,7011,945500000,9740000,10.62,24.08,0.7702,true,true
02066,2596,540800000,7994000,93.35,41.89,1.626,false,false
02068,1615,888500000,11180000,17.46,26.46,0.8707,false,false
02070,4845,1473000000,6709000,98.98,32.7,1.761,false,true
02090,95580,27050000000,101300000,10.62,25.99,0.7689,false,false
02100,2080,986000000,2556000,52.13,10.34,1.182,false,true
02105,2313,690900000,3331000,98,10.05,1.837,true,true
02110,32110,8828000000,6008000,21.12,62.4,0.9004,true,true
02122,58730,21190000000,120500000,47.11,6.489,1.143,true,true
02130,13940,4157000000,1865000,28.09,68.64,0.9553,true,true
02150,13080,5168000000,25330000,33.21,18.7,1.014,false,true
02158,8356,968700000,10870000,100,5.916,1.905,false,false
02164,1472,671000000,1999000,96.66,11.7,1.801,true,true
02170,107000,32580000000,161000000,17.24,3.721,0.8812,true,true
02180,10030,2238000000,6172000,99.94,16.09,1.846,false,false
02185,10650,2258000000,4903000,58.87,3.181,1.265,false,false
02188,7726,1378000000,9926000,99.84,5.852,1.902,false,false
02195,3393,915200000,5127000,59.54,18.67,1.242,false,false
02198,5714,1647000000,838600,92.81,44.37,1.612,false,true
