fips,events_per_customer_year,p_ge_1d,p_ge_3d,p_ge_7d,p_ge_14d,median_hours,p90_hours,years_covered,years_of_data,duration_basis,events_per_year,events,customers,customer_hours_per_customer_year,share_customer_hours_in_events,longest_event_hours
01001,1.431,0.02746,0.01359,0.000244,0,1.75,9.25,2014-2025,11.17,county,25.61,286,24620,8.376,0.8343,181.5
01003,0.4019,0.158,0.1073,0,0,3,79,2014-2025,10.5,county,6.571,69,195300,7.552,0.8556,258.5
01005,1.146,0.0172,0,0,0,1.75,9,2017-2025,8.667,county,22.96,199,12400,5.85,0.7693,48.75
01007,2.156,0.04198,0.00238,0.0001681,0,2.5,12,2014-2025,9.5,county,44.32,421,11040,14.03,0.8431,185.5
01009,1.398,0.02709,0,0,0,2.25,9.5,2017-2025,8.667,county,38.77,336,27070,8.798,0.7452,74.75
01011,1.182,0.001183,0,0,0,2.25,7,2014-2025,9.833,county,26.54,261,8727,5.107,0.7961,37.5
01013,2.207,0.03129,0,0,0,1.75,9.5,2014-2025,11.08,county,28.33,314,12320,10.53,0.8497,97.25
01015,0.8007,0.07811,0.02525,0,0,2.75,20.5,2017-2025,8.833,county,20.38,180,62180,9.427,0.7405,158.5
01017,1.096,0.02572,0.00217,0,0,1.75,6,2017-2025,8.25,county,27.64,228,13140,5.242,0.7145,130.8
01019,0.009099,0.04852,0.01224,0.00004026,0,2.25,12.75,2017-2025,6.083,state,0.4932,3,24530,0.06139,0.1847,3.25
01021,1.648,0.06499,0.03594,0.0005206,0,2.25,16.25,2014-2025,11.17,county,30.45,340,19410,15.7,0.8931,185
01023,1.262,0.004491,0,0,0,2.25,9.5,2017-2025,8.25,county,21.58,178,7230,5.746,0.8232,40.75
01025,0.4643,0.06521,0.04295,0,0,2,11.5,2014-2025,9.833,county,13.32,131,21630,4.845,0.8523,164
01027,3.182,0.05335,0.001776,0,0,2.5,12,2017-2025,8.667,county,45,390,5554,20.67,0.9006,161.2
01029,3.955,0.07747,0.01035,0,0,3.25,17.75,2017-2025,8.25,county,63.76,526,6993,32.36,0.9053,133
01031,0.5465,0.01261,0,0,0,1.75,5.5,2014-2025,10.92,county,15.57,170,31350,2.461,0.6905,89.25
01033,0,0.04852,0.01224,0.00004026,0,2.25,12.75,2022-2025,1.833,state,0,0,33810,0.0001089,0,0
01035,0.2881,0.04885,0,0,0,2,13.75,2014-2025,10.42,county,5.76,60,5906,1.614,0.886,89
01037,5.538,0.05008,0.01696,0.001384,0,2.5,12.75,2014-2025,11.17,county,64.03,715,4170,39.28,0.9378,188.8
01039,0.4099,0.02924,0,0,0,2,8.25,2014-2025,11,county,12.09,133,30320,2.131,0.7458,64.75
