state_abbr,events_per_customer_year,p_ge_1d,p_ge_3d,p_ge_7d,p_ge_14d,median_hours,p90_hours,units_with_data,events
AK,1.523,0.01864,0.000802,0.000005202,0,1.75,7.25,9,1363
AL,0.7532,0.04852,0.01224,0.00004026,0,2.25,12.75,67,15633
AR,1.016,0.04418,0.00493,0.00003279,0.000009275,2.25,11.75,75,20890
AZ,0.1794,0.00674,0.0006055,0,0,2,6.5,15,1353
CA,0.4145,0.07142,0.006307,0.0009746,0.0002478,2.25,18.5,58,12259
CO,0.3952,0.03585,0.0003928,0.00001277,0.00001251,1.75,9,63,5898
CT,0.2454,0.2255,0.08553,0,0,6.5,61.75,17,728
DC,0.1287,0.01442,0,0,0,2.75,12,1,45
DE,0.2889,0.03115,0,0,0,1.75,8.75,3,326
FL,0.7043,0.1367,0.04017,0.002763,0.000009134,3.25,36.25,67,11450
GA,0.6592,0.0763,0.02184,0.003994,0.0003228,2,17.5,159,32594
HI,0.8291,0.01404,0.005609,0.0008174,0.0002088,1.75,6.75,5,718
IA,0.5761,0.04453,0.02041,0.003832,0,1.75,9.5,99,12662
ID,0.8244,0.0155,0.002463,0.0000529,0,2,6.75,44,8680
IL,0.2628,0.0572,0.003025,0.0003438,0.00005512,2.5,15.5,102,13126
IN,0.5719,0.04021,0.002419,0.0001859,0.0001129,2.5,12,92,14182
KS,0.4976,0.02506,0.001637,0.00002024,0,2,8.75,102,9617
KY,0.8214,0.05854,0.009783,0.0008171,0.000002723,2,13.75,120,25090
LA,1.512,0.09966,0.04218,0.01739,0.003758,2.25,23.75,64,24526
MA,0.2754,0.1348,0.003519,0,0,4.25,29,14,1444
MD,0.3771,0.03043,0.001112,0,0,2,11.75,24,3635
ME,1.794,0.1291,0.01746,0.0001946,0,3.25,29.75,16,6539
MI,0.7746,0.1609,0.0218,0.001222,0.0002702,4.5,33.25,83,19353
MN,0.4212,0.02542,0.0008671,0.00002659,0,2,9,86,7153
MO,0.5412,0.04769,0.004896,0.0001681,0,2.25,12.5,115,18549
MS,1.08,0.05238,0.007877,0.0006,0.00007304,2.25,15,82,20759
MT,0.8592,0.03496,0.001032,0,0,2.5,8.25,55,4790
NC,1.3,0.05771,0.00988,0.0004085,0.000002545,2,15.25,100,25565
ND,0.3191,0.03346,0.005166,0.0009695,0.000005161,1.75,7,53,2249
NE,0.516,0.08829,0.0222,0,0,1.75,19.75,56,1599
NH,0.817,0.0977,0.003855,0.0001998,0.0000401,3,23.5,10,2213
NJ,0.4522,0.08641,0.01856,0,0,2,20.5,21,3743
NM,0.5762,0.007904,0.000623,0,0,1.75,5.5,31,3462
NV,0.3054,0.01079,0.00117,0.00001307,0,1.75,6.5,17,2322
NY,0.3937,0.0657,0.01193,0.0006545,0,2.5,17.25,62,15130
OH,0.5819,0.038,0.005506,0.0001398,0,2.25,11.75,88,19005
OK,0.8135,0.0595,0.01729,0.005553,0,2,15.25,77,16568
OR,0.6612,0.08254,0.01976,0.002163,0.0002132,2.5,19,35,4651
PA,0.5195,0.05903,0.005704,0.000007026,0,2.5,16.25,67,15710
PR,5.635,0.07647,0.02921,0.01869,0,3.5,18.25,1,509
RI,0.5343,0.1188,0.005646,0,0,3,26,5,592
SC,0.6058,0.1171,0.04393,0.0126,0.000000469,2.5,27.5,46,8514
SD,0.5769,0.03496,0.006102,0.001503,0.0002336,2,7.5,66,4272
TN,0.7438,0.03949,0.007446,0.0008304,0,1.75,10.5,90,12043
TX,0.7552,0.0985,0.01577,0.0008442,0.000006466,2.25,23.5,254,57952
UT,0.4396,0.02418,0.008792,0.00006038,0,2,6,29,3879
VA,1.082,0.05027,0.006972,0.0005746,0,2.25,13.25,133,36212
VI,19.35,0.009704,0.00007033,0,0,1.5,5.75,3,1153
VT,1.163,0.05191,0.003382,0,0,2.5,14.25,14,4259
WA,0.6805,0.04594,0.003617,0.00000421,0,2.75,14.5,39,5268
WI,0.4451,0.04376,0.002224,0.000008611,0,2.5,12.5,72,9371
WV,2.217,0.04493,0.005562,0.001005,0,3,13.75,55,28163
WY,0.5949,0.002627,0.0003164,0,0,1.75,5.25,23,2089
