fips,p_pga_ge_0_1g_per_year,p_pga_ge_0_2g_per_year,mmi6_100yr,model
01001,0.0006057,0.0001682,0.09188,conus-2023-grid
01003,0.0001812,0.00005028,0.07665,conus-2023-grid
01005,0.0002092,0.00004795,0.1029,conus-2023-grid
01007,0.001138,0.0003667,0.1684,conus-2023-grid
01009,0.001243,0.0003607,0.198,conus-2023-grid
01011,0.0002713,0.00006294,0.1168,conus-2023-grid
01013,0.0002958,0.00007449,0.1197,conus-2023-grid
01015,0.001124,0.0003447,0.1867,conus-2023-grid
01017,0.0004778,0.0001259,0.1557,conus-2023-grid
01019,0.001461,0.0004773,0.1356,conus-2023-grid
01021,0.0008426,0.0002559,0.1556,conus-2023-grid
01023,0.0006153,0.0001829,0.1113,conus-2023-grid
01025,0.0004478,0.0001315,0.07449,conus-2023-grid
01027,0.000795,0.000238,0.1649,conus-2023-grid
01029,0.0009656,0.0002834,0.1462,conus-2023-grid
01031,0.0001717,0.00004122,0.1099,conus-2023-grid
01033,0.001892,0.0005979,0.1854,conus-2023-grid
01035,0.0002644,0.0000701,0.09255,conus-2023-grid
01037,0.0007253,0.0002182,0.1009,conus-2023-grid
01039,0.0001808,0.0000451,0.08303,conus-2023-grid
01041,0.0002483,0.0000601,0.09658,conus-2023-grid
01043,0.001313,0.0003735,0.1902,conus-2023-grid
01045,0.0001593,0.0000377,0.04271,conus-2023-grid
01047,0.000629,0.0001776,0.1791,conus-2023-grid
01049,0.001893,0.0006477,0.1662,conus-2023-grid
01051,0.0005072,0.0001404,0.1245,conus-2023-grid
01053,0.0002186,0.00005911,0.07563,conus-2023-grid
01055,0.001348,0.0004185,0.1329,conus-2023-grid
01057,0.001469,0.0004472,0.2338,conus-2023-grid
01059,0.001734,0.0005312,0.2518,conus-2023-grid
01061,0.0001354,0.0000334,0.09213,conus-2023-grid
01063,0.001491,0.0005473,0.2513,conus-2023-grid
01065,0.001254,0.0004335,0.1986,conus-2023-grid
01067,0.000161,0.00003754,0.05915,conus-2023-grid
01069,0.0001312,0.00003184,0.07647,conus-2023-grid
01071,0.001892,0.0006158,0.2074,conus-2023-grid
01073,0.001231,0.0003824,0.1554,conus-2023-grid
01075,0.001456,0.000425,0.2668,conus-2023-grid
01077,0.001943,0.0006201,0.2732,conus-2023-grid
01079,0.001566,0.0004612,0.1978,conus-2023-grid
01081,0.0003694,0.00009542,0.1017,conus-2023-grid
01083,0.001545,0.0004437,0.275,conus-2023-grid
01085,0.0004189,0.0001079,0.1375,conus-2023-grid
01087,0.0003375,0.00008109,0.1309,conus-2023-grid
01089,0.001525,0.000441,0.1541,conus-2023-grid
01091,0.0007663,0.0002336,0.1336,conus-2023-grid
01093,0.00159,0.0004778,0.1834,conus-2023-grid
01095,0.001425,0.0004247,0.1824,conus-2023-grid
01097,0.0002034,0.00005707,0.06002,conus-2023-grid
01099,0.0003533,0.00009855,0.05367,conus-2023-grid
01101,0.0003564,0.00008743,0.1365,conus-2023-grid
01103,0.001406,0.0003973,0.2381,conus-2023-grid
01105,0.0009352,0.0002919,0.1525,conus-2023-grid
01107,0.001509,0.0004949,0.1968,conus-2023-grid
01109,0.0002273,0.00005332,0.09335,conus-2023-grid
01111,0.0006727,0.0001848,0.179,conus-2023-grid
01113,0.0002813,0.00006653,0.1296,conus-2023-grid
01115,0.001154,0.0003538,0.1342,conus-2023-grid
01117,0.001074,0.0003436,0.1792,conus-2023-grid
01119,0.001162,0.0003926,0.1753,conus-2023-grid
01121,0.0009669,0.0003038,0.1523,conus-2023-grid
01123,0.0005462,0.0001521,0.09692,conus-2023-grid
01125,0.001463,0.0004882,0.1654,conus-2023-grid
01127,0.001382,0.0004198,0.1401,conus-2023-grid
01129,0.0003698,0.000109,0.1061,conus-2023-grid
01131,0.000485,0.000133,0.1553,conus-2023-grid
01133,0.001466,0.0004343,0.2407,conus-2023-grid
02013,0.02692,0.00788,0.9875,alaska-2023-grid
02016,0.06336,0.02052,0.9995,alaska-2023-grid
02020,0.04542,0.01785,0.9898,alaska-2023-grid
02050,0.0001373,0.00003385,0.05707,alaska-2023-grid
02060,0.006926,0.001609,0.9855,alaska-2023-grid
02063,0.03256,0.01597,0.9948,alaska-2023-grid
02066,0.01672,0.006235,0.8438,alaska-2023-grid
02068,0.03829,0.01217,0.9985,alaska-2023-grid
02070,0.0009359,0.0001519,0.6315,alaska-2023-grid
02090,0.00763,0.001962,0.8053,alaska-2023-grid
02100,0.01698,0.00464,0.7941,alaska-2023-grid
02105,0.01605,0.003774,0.9681,alaska-2023-grid
02110,0.00249,0.0007601,0.256,alaska-2023-grid
02122,0.05128,0.01871,1,alaska-2023-grid
02130,0.001301,0.0005106,0.1919,alaska-2023-grid
02150,0.04782,0.01883,0.9988,alaska-2023-grid
