fips,smoke_days_35,smoke_days_55,smoke_trend,hms_smoke_days,smoke_basis
01001,0,0,0,11.4,imputed
01003,0,0,0,9.38,monitor
01005,0,0,0,10.5,imputed
01007,0,0,0,12.4,imputed
01009,0,0,0,11.6,imputed
01011,0,0,0,10.8,imputed
01013,0,0,0,9.88,imputed
01015,0,0,0,12,imputed
01017,0,0,0,11.6,imputed
01019,0,0,0,12,imputed
01021,0.306,0,0.141,12.2,imputed
01023,0,0,0,11.4,imputed
01025,0,0,0,11,imputed
01027,0,0,0,12.1,monitor
01029,0,0,0,11.8,imputed
01031,0,0,0,9.88,imputed
01033,0,0,0,13.2,imputed
01035,0,0,0,11.6,imputed
01037,0,0,0,12.1,imputed
01039,0,0,0,10.8,imputed
01041,0,0,0,9.62,imputed
01043,0,0,0,12.8,imputed
01045,0,0,0,10.2,imputed
01047,0,0,0,11.8,imputed
01049,0,0,0,11.6,monitor
01051,0,0,0,11.4,imputed
01053,0,0,0,10.6,imputed
01055,0,0,0,11.6,monitor
01057,0,0,0,12.5,imputed
01059,0,0,0,12.6,imputed
01061,0,0,0,10.2,imputed
01063,0,0,0,12.1,imputed
01065,0,0,0,12.2,imputed
01067,0,0,0,9.5,imputed
01069,0.916,0.114,0.418,9.5,imputed
01071,0,0,0,11.9,imputed
01073,0.25,0,0.167,11.6,monitor
01075,0,0,0,12.2,imputed
01077,0,0,0,13.8,imputed
01079,0,0,0,12.6,imputed
01081,0,0,0,11.5,imputed
01083,0.178,0,0.0811,13.5,imputed
01085,0,0,0,10.1,imputed
01087,0,0,0,12.2,imputed
01089,0.127,0,0.0826,12.2,monitor
01091,0,0,0,12.5,imputed
01093,0,0,0,12.2,imputed
01095,0,0,0,12,imputed
01097,0,0,0,9.25,monitor
01099,0,0,0,10.9,imputed
01101,0,0,0,10.8,monitor
01103,0,0,0,12.2,monitor
01105,0,0,0,12,imputed
01107,0,0,0,12.9,imputed
01109,0,0,0,10.4,imputed
01111,0,0,0,11,imputed
01113,0,0,0,11.5,monitor
01115,0,0,0,11.9,imputed
01117,0.294,0,0.138,11.8,imputed
01119,0,0,0,12.9,monitor
01121,0,0,0,12,imputed
01123,0,0,0,12.1,imputed
01125,0,0,0,11.9,monitor
01127,0.316,0,0.143,12.6,imputed
01129,0,0,0,10.6,imputed
01131,0,0,0,11,imputed
01133,0,0,0,12.6,imputed
02013,0.234,0.167,0.0372,1.12,imputed
02016,0.026,0.0185,0.0174,0.125,imputed
02020,0.75,0.375,0,4.88,monitor
02050,0.703,0.5,0.141,3.38,imputed
02060,0.625,0.444,0.0942,3,imputed
02063,0.729,0.519,0.134,3.5,imputed
02066,1.22,0.87,0.375,5.88,imputed
02068,1.95,1.39,0.613,9.38,imputed
02070,0.625,0.444,0.104,3,imputed
02090,4.47,3.69,1.56,11.5,monitor
02100,0.365,0,0.0952,4.75,imputed
02105,0.298,0,0.0723,3.88,imputed
02110,0.406,0,-0.0387,5.12,monitor
02122,1.12,0.796,0.186,5.38,imputed
02130,1.15,0.815,0.263,5.5,imputed
02150,0.599,0.426,0.117,2.88,imputed
02158,0.677,0.481,0.154,3.25,imputed
02164,0.625,0.444,0.114,3,imputed
02170,0.125,0,-0.0119,5.88,monitor
02180,0.729,0.519,0.0694,3.5,imputed
02185,1.22,0.87,0.33,5.88,imputed
02188,1.12,0.796,0.26,5.38,imputed
02195,1.46,1.04,0.313,7,imputed
02198,0.885,0.63,0.228,4.25,imputed
02220,0.327,0,0.0769,4.25,imputed
02230,0.442,0,0.126,5.75,imputed
02240,2.03,1.44,0.595,9.75,imputed
02275,1.2,0.852,0.322,5.75,imputed
02282,0.755,0.537,0.161,3.62,imputed
02290,2.29,1.63,0.595,11,imputed
04001,0,0,0,8.38,monitor
04003,0,0,0,4.75,imputed
04005,1.89,0.98,0.186,8.75,imputed
04007,1.41,0,0.0288,10.5,imputed
04009,1.13,0,0.168,8.38,imputed
04011,1.98,1.02,0.26,9.12,imputed
04012,0,0,0,6,monitor
04013,0,0,0,6.12,monitor
04015,0,0,0,7.12,monitor
04017,0,0,0,9.38,imputed
04019,0,0,0,4.88,monitor
04021,0.875,0,0.107,6.5,monitor
04023,0,0,0,4.75,monitor
04025,0,0,0,7.88,imputed
04027,0,0,0,5.88,monitor
05001,0,0,0,21.4,monitor
05003,0.313,0,0.198,17.6,monitor
05005,0,0,0,19,imputed
05007,0,0,0,18.6,imputed
05009,0,0,0,17.6,imputed
05011,0.343,0,0.146,17.1,imputed
05013,0.419,0,0.176,16.8,imputed
05015,0,0,0,18.5,imputed
05017,0.37,0,0.162,18.5,imputed
05019,0,0,0,17.2,imputed
05021,0.149,0,0.0578,23.2,imputed
05023,0,0,0,19,imputed
05025,0,0,0,17.6,imputed
05027,0.359,0,0.147,14.4,imputed
05029,0,0,0,18.1,imputed
05031,0,0,0,23,imputed
05033,0,0,0,17.5,imputed
05035,0,0,0,21.2,monitor
05037,0,0,0,23.2,imputed
05039,0,0,0,16.8,imputed
05041,0,0,0,20,imputed
05043,0.37,0,0.156,18.5,imputed
05045,0,0,0,19.2,imputed
05047,0,0,0,18.5,imputed
05049,0,0,0,18.4,imputed
05051,0,0,0,17.8,monitor
05053,0,0,0,17.6,imputed
05055,0,0,0,22.8,imputed
05057,0,0,0,15.8,imputed
05059,0,0,0,17.2,imputed
05061,0,0,0,15.6,imputed
05063,0,0,0,20.6,imputed
05065,0,0,0,18.4,imputed
05067,0,0,0,21.8,monitor
05069,0,0,0,20.2,imputed
05071,0,0,0,18,imputed
05073,0,0,0,14.6,imputed
05075,0,0,0,22.1,imputed
05077,0,0,0,21.2,imputed
05079,0,0,0,20.9,imputed
05081,0,0,0,15.4,imputed
05083,0,0,0,18.6,imputed
05085,0,0,0,21.1,imputed
05087,0,0,0,18.4,imputed
05089,0,0,0,18.5,imputed
05091,0,0,0,15.5,imputed
05093,0,0,0,22.5,imputed
05095,0,0,0,20.6,imputed
05097,0,0,0,18.2,imputed
