fips,strategic_class,strategic_site_ids,strategic_km,strategic_bearing,uasi_share,uasi_area
01001,E,,,,0,
01003,E,,,,0,
01005,E,,,,0,
01007,C2,metro_13820,,,0,
01009,C2,metro_13820,,,0,
01011,E,,,,0,
01013,E,,,,0,
01015,E,,,,0,
01017,E,,,,0,
01019,E,,,,0,
01021,C2,metro_13820,,,0,
01023,E,,,,0,
01025,E,,,,0,
01027,E,,,,0,
01029,E,,,,0,
01031,E,,,,0,
01033,E,,,,0,
01035,E,,,,0,
01037,E,,,,0,
01039,E,,,,0,
01041,E,,,,0,
01043,E,,,,0,
01045,E,,,,0,
01047,E,,,,0,
01049,E,,,,0,
01051,E,,,,0,
01053,E,,,,0,
01055,E,,,,0,
01057,E,,,,0,
01059,E,,,,0,
01061,E,,,,0,
01063,E,,,,0,
01065,E,,,,0,
01067,E,,,,0,
01069,E,,,,0,
01071,E,,,,0,
01073,C2,metro_13820,,,0,
01075,E,,,,0,
01077,E,,,,0,
01079,E,,,,0,
01081,E,,,,0,
01083,E,,,,0,
01085,E,,,,0,
01087,E,,,,0,
01089,E,,,,0,
01091,E,,,,0,
01093,E,,,,0,
01095,E,,,,0,
01097,E,,,,0,
01099,E,,,,0,
01101,E,,,,0,
01103,E,,,,0,
01105,E,,,,0,
01107,E,,,,0,
01109,E,,,,0,
01111,E,,,,0,
01113,E,,,,0,
01115,C2,metro_13820,,,0,
01117,C2,metro_13820,,,0,
01119,E,,,,0,
01121,E,,,,0,
01123,E,,,,0,
01125,E,,,,0,
01127,C2,metro_13820,,,0,
01129,E,,,,0,
01131,E,,,,0,
01133,E,,,,0,
02013,E,,,,0,
02016,A,eareckson_as,,,0,
02020,E,,,,0,
02050,E,,,,0,
02060,E,,,,0,
02063,E,,,,0,
02066,E,,,,0,
02068,A,clear_sfs,,,0,
02070,E,,,,0,
02090,D,clear_sfs,96.2,232,0,
02100,E,,,,0,
02105,E,,,,0,
02110,E,,,,0,
02122,E,,,,0,
02130,E,,,,0,
02150,E,,,,0,
02158,E,,,,0,
02164,E,,,,0,
02170,E,,,,0,
02180,E,,,,0,
02185,E,,,,0,
02188,E,,,,0,
02195,E,,,,0,
