fips,surge_proxy_class,coastal_flood_pop_share
01001,none,0
01003,moderate,0.0933
01005,none,0
01007,none,0
01009,none,0
01011,none,0
01013,none,0
01015,none,0
01017,none,0
01019,none,0
01021,none,0
01023,none,0
01025,low,0.00107
01027,none,0
01029,none,0
01031,none,0
01033,none,0
01035,none,0
01037,none,0
01039,none,0
01041,none,0
01043,none,0
01045,none,0
01047,none,0
01049,none,0
01051,none,0
01053,none,0
01055,none,0
01057,none,0
01059,none,0
01061,none,0
01063,none,0
01065,none,0
01067,none,0
01069,none,0
01071,none,0
01073,none,0
01075,none,0
01077,none,0
01079,none,0
01081,none,0
01083,none,0
01085,none,0
01087,none,0
01089,none,0
01091,none,0
01093,none,0
01095,none,0
01097,moderate,0.0951
01099,low,0.000821
01101,none,0
01103,none,0
01105,none,0
01107,none,0
01109,none,0
01111,none,0
01113,none,0
01115,none,0
01117,none,0
01119,none,0
01121,none,0
01123,none,0
01125,none,0
01127,none,0
01129,low,0.0167
01131,none,0
01133,none,0
02013,none,0
02016,none,0
02020,none,0.00939
02050,none,0
02060,none,0
02063,none,0.0358
02066,none,0
02068,none,0
02070,none,0
02090,none,0
02100,none,0
02105,none,0.0395
02110,none,0.0709
02122,none,0.0247
02130,none,0.013
02150,none,0
02158,none,0
02164,none,0.00169
02170,none,0.0131
02180,none,0
02185,none,0
02188,none,0
02195,none,0
02198,none,0
02220,none,0.0523
02230,none,0
02240,none,0
02275,none,0
02282,none,0
02290,none,0
04001,none,0
04003,none,0
04005,none,0
04007,none,0
04009,none,0
04011,none,0
04012,none,0
04013,none,0
04015,none,0
04017,none,0
04019,none,0
04021,none,0
04023,none,0
04025,none,0
04027,none,0
05001,none,0
05003,none,0
05005,none,0
05007,none,0
05009,none,0
05011,none,0
05013,none,0
05015,none,0
05017,none,0
05019,none,0
05021,none,0
05023,none,0
05025,none,0
05027,none,0
05029,none,0
05031,none,0
05033,none,0
05035,none,0
05037,none,0
05039,none,0
05041,none,0
05043,none,0
05045,none,0
05047,none,0
05049,none,0
05051,none,0
05053,none,0
05055,none,0
05057,none,0
05059,none,0
05061,none,0
05063,none,0
05065,none,0
05067,none,0
05069,none,0
