fips,sdwis_violation_pop_share,cws_pop_share
01001,0,1
01003,0.0417,1
01005,0.0184,1
01007,0.168,1
01009,0.277,1
01011,0,1
01013,0.105,1
01015,0.205,1
01017,0,1
01019,0,0.92
01021,0,1
01023,0.704,1
01025,0.336,1
01027,0.13,0.838
01029,0,1
01031,0.0795,1
01033,0.223,1
01035,0.0356,1
01037,0.387,1
01039,0,1
01041,0,1
01043,0,1
01045,0.0183,1
01047,0,1
01049,0,1
01051,0.114,1
01053,0.0208,1
01055,0.0552,1
01057,0.0757,1
01059,0,1
01061,0,0.891
01063,0,1
01065,0,1
01067,0,1
01069,0.0282,1
01071,0.387,1
01073,0.0484,1
01075,0,1
01077,0.039,1
01079,0,0.811
01081,0.0513,1
01083,0.313,1
01085,0,1
01087,0,1
01089,0,1
01091,0.0179,1
01093,0.22,1
01095,0.0216,1
01097,0.672,1
01099,0.312,1
01101,0,1
01103,0,1
01105,0,1
01107,0,1
01109,0.0759,1
01111,0,1
01113,0.23,1
01115,0.0187,1
01117,0.243,0.954
01119,0,1
01121,0.00664,1
01123,0.06,1
01125,0.67,1
01127,0.21,1
01129,0.0918,1
01131,0.617,1
01133,0.0609,1
02013,0.928,0.75
02016,0.0833,1
02020,0.014,0.997
02050,0.783,0.796
02060,0.52,0.151
02063,0.0312,1
02066,0.0312,1
02068,0.409,0.454
02070,0.747,1
02090,0.134,1
02100,1,1
02110,0.00645,1
02122,0.235,0.442
02130,0.158,0.777
02150,0.293,1
02158,1,0.9
02164,0.895,1
02170,0.145,0.419
02180,0.456,1
02185,0.568,0.81
02188,0.936,0.986
02220,0.00995,1
02240,0.153,0.332
02282,0,1
02290,0.589,1
04001,0.252,0.278
04003,0.528,0.952
04005,0.312,1
04007,0.415,1
04009,0.989,0.71
04011,0.763,0.799
04012,0.206,0.872
04013,0.051,0.991
04015,0.289,1
04017,0.314,0.896
04019,0.0293,1
04021,0.298,1
04023,0.538,0.999
04025,0.438,0.836
04027,0.767,1
05001,0.021,1
05003,0.253,1
05005,0.0761,0.874
05007,0.0839,1
05009,0.0721,0.921
05011,0,1
05013,0,1
05015,0.351,0.745
05017,0.528,1
05019,0,0.998
05021,0,1
05023,0.0786,1
05025,0.137,1
05027,0.132,0.997
05029,0.903,1
05031,0.0216,0.698
05033,0.0786,0.951
05035,0.3,0.975
05037,0.0258,0.746
05039,0.0478,1
05041,0.601,1
05043,0.112,0.86
05045,0.168,1
05047,0.0569,0.973
05049,0.0559,0.801
05051,0,1
05053,0,0.999
05055,0,1
05057,0.282,0.874
05059,0,1
05061,0.478,1
05063,0.0982,1
05065,0,0.972
05067,0.266,0.892
05069,0,1
05071,0.119,0.941
05073,0.0454,0.961
05075,0.182,0.905
05077,0.449,1
05079,0,1
05081,0.405,0.95
05083,0.621,1
05085,0.338,0.689
05087,0,0.258
05089,0.0369,0.79
05091,0.018,1
05093,0.196,0.969
05095,0.503,1
05097,1,0.514
05099,0.855,0.758
05101,0.417,1
05103,0.191,1
05105,0.0774,0.38
05107,0.522,0.997
05109,0.427,0.874
05111,0.0191,1
05113,0.0794,0.85
05115,0.485,1
05117,0.247,0.483
05119,0,1
05121,0,0.627
05123,0.0535,0.895
05125,0,0.937
05127,0,0.445
05129,0.33,1
05131,0.0641,1
05133,0.0191,0.696
05135,0.0664,0.609
05137,0.0714,1
05139,0.64,1
05141,0.245,1
05143,0.0447,0.874
05145,0.0823,1
05147,0.275,0.935
05149,0.653,0.845
06001,0.000258,1
06003,0.0792,1
06005,0.392,0.935
06007,0.0551,0.936
06009,0.309,1
06011,0.0292,0.803
06013,0.00292,0.481
06015,0.0311,0.914
06017,0.000573,1
06019,0.0888,0.977
06021,0.0168,0.657
06023,0.0451,0.896
06025,0.411,0.958
06027,0.364,0.874
06029,0.154,1
06031,0.696,0.984
06033,0.269,0.976
06035,0.008,0.574
06037,0.0112,1
06039,0.111,0.883
06041,0.00114,1
06043,0.0632,0.384
06045,0.189,0.669
06047,0.415,0.855
06049,0.855,0.568
06051,0.364,1
06053,0.0174,1
06055,0.114,0.932
06057,0.0423,0.925
06059,0.0000792,1
06061,0.00635,1
06063,0.437,1
06065,0.0334,1
06067,0.147,1
06069,0.504,0.956
06071,0.0331,1
06073,0.0408,1
06075,0,0.98
06077,0.27,0.953
06079,0.0888,0.96
06081,0.002,1
06083,0.0025,1
06085,0.53,1
06087,0.114,0.935
06089,0.139,0.926
06091,0.427,1
06093,0.787,0.652
06095,0.326,1
06097,0.0137,0.903
06099,0.254,0.884
06101,0.00337,0.834
06103,0.142,0.551
06105,0.617,0.604
06107,0.393,0.905
06109,0.181,1
06111,0.0249,1
06113,0.228,1
06115,0.00516,0.939
08001,0.0916,1
08003,0.00655,0.793
08005,0.0668,1
08007,0.0668,0.998
08009,0.885,0.717
08011,0.902,0.543
08013,0.0977,1
08014,0.976,1
08015,0.145,0.793
08017,0,0.724
08019,0.108,1
08021,0.147,0.601
08023,0.0739,0.689
08025,0,0.497
08027,0,0.434
08029,0.37,0.843
08031,0.000112,1
08033,0.66,0.554
08035,0.00174,1
08037,0.0286,1
08039,0.0761,0.476
08041,0.0401,1
08043,0.148,1
08045,0.347,0.823
08047,0,1
08049,0.239,1
08051,0.0409,1
08053,0.898,0.83
08055,0.808,0.84
08057,0,0.504
08059,0.00869,0.953
08061,0.236,0.594
08063,0.15,1
08065,0.00529,1
08067,0.063,0.981
08069,0.0727,1
08071,0.0567,0.982
08073,0.134,1
08075,0.0434,0.792
08077,0.00131,1
08079,0,1
08081,0.0346,0.762
08083,0.0341,1
08085,0.02,1
08087,0.0152,0.993
08089,0.274,1
08091,0.636,0.796
08093,0.506,0.202
08095,0.0118,0.784
08097,0.165,1
08099,0.3,0.974
08101,0.219,0.966
08103,0.00555,0.774
08105,0.0487,0.637
08107,0.575,1
08109,0.147,0.942
08111,0,1
08113,0.394,1
08115,0.867,0.714
08117,0.466,1
08119,0.677,0.734
08121,1,0.62
08123,0.164,1
08125,0.0348,0.679
09110,0.0537,0.863
09120,0.0889,0.306
09130,0.0359,0.498
09140,0.0143,0.696
09150,0.0892,0.46
09160,0.0346,0.473
09170,0.00061,0.823
09180,0.056,0.633
09190,0.0866,1
10001,0.0061,0.816
10003,0,0.928
10005,0.0268,1
11001,0.054,0.97
12001,0.000898,0.801
12003,0,0.367
12005,0.19,1
12007,0.00199,0.533
12009,0.207,1
12011,0.205,0.984
12013,0,0.316
12015,0.0027,1
12017,0.00684,0.776
12019,0.00053,0.822
12021,0.00354,1
12023,0.0477,0.338
12027,0.294,0.671
12029,0.0206,0.29
12031,0.000141,0.937
12033,0,1
12035,0.000644,1
12037,0.513,1
12039,0.00379,0.864
12041,0,0.195
12043,0.603,0.557
12045,0.26,1
12047,0,0.572
12049,0.00905,0.62
12051,0.00984,0.862
12053,0.00287,0.874
12055,0.0417,0.95
12057,0.00127,1
12059,0.126,0.25
12061,0,1
12063,0.0745,0.496
12065,0,0.609
12067,0,0.299
12069,0.0898,1
12071,0.639,0.946
12073,0.000656,0.803
12075,0.0966,0.268
12077,0.447,1
12079,0.873,0.519
12081,0.0341,1
12083,0.0206,0.697
12085,0.0552,0.998
12086,0.0000228,1
12087,1,0.364
12089,0.00399,0.682
12091,0.0787,1
12093,0.0772,0.591
12095,0.0534,1
12097,0.00546,0.844
12099,0.542,1
12101,0.00471,0.71
12103,0.05,1
12105,0.271,0.895
12107,0.579,0.358
12109,0.0055,0.8
12111,0.0378,0.997
12113,0.000113,1
12115,0,1
12117,0.0706,1
12119,0.00803,1
12121,0.297,0.306
12123,0.645,0.521
12125,0,0.303
12127,0.0287,0.992
12129,0.784,0.901
12131,0.00936,1
12133,0.274,0.361
13001,0,0.367
13003,0.412,0.507
13005,0,0.374
13007,0,0.292
13009,0.998,1
13011,0.358,0.624
13013,0.117,1
13015,0,0.997
13017,0,0.899
13019,0,0.441
13021,0,0.83
13023,0,0.767
13025,0,0.152
13027,0,0.559
13029,0,0.841
13031,0.0012,0.992
13033,0,0.353
13035,0,1
13037,0.23,0.952
13039,0.436,1
13043,0,0.497
13045,0.00235,0.902
13047,0.0435,1
13049,0,0.542
13051,0.117,1
13053,0,0.31
13055,0,0.955
13057,0,1
13059,0.982,0.992
13061,0,0.94
13063,0,1
13065,0,0.58
13067,0,1
13069,0.0258,0.562
13071,0,0.555
13073,0.868,0.924
13075,0,0.572
13077,0.621,1
13079,0,0.51
13081,0,0.857
13083,0,1
13085,0,1
13087,0.041,0.624
13089,0,1
13091,0,0.572
13093,0,0.829
13095,0,1
13097,0,0.882
13099,0,0.577
13101,1,0.278
13103,0,0.772
13105,0,0.482
13107,0.07,0.686
13109,0,0.593
13111,0,0.675
13113,0.00639,0.884
13115,0,0.996
13117,0,0.887
13119,0.29,0.829
13121,0.0561,1
13123,0,0.558
13125,0.977,0.58
13127,0.00339,1
13129,0,0.94
13131,0,0.456
13133,0.0174,1
13135,0,1
13137,0.122,0.857
13139,0,0.738
13141,0.368,0.907
13143,0.483,0.846
13145,0,0.947
13147,0.00331,0.644
13149,0.891,0.804
13151,0,0.955
13153,0,1
13155,0,0.384
13157,0.383,1
13159,0.463,0.6
13161,0.905,0.433
13163,0.00809,0.758
13165,0,0.771
13167,0,0.464
13169,0,0.826
13171,0.172,0.709
13173,0.579,0.476
13175,0,0.576
13177,0.75,0.821
13179,0,1
13181,0.994,1
13183,0.00838,0.52
13185,0.705,0.808
13187,0,0.418
13189,1,0.985
13191,0,1
13193,0.131,0.849
13195,0.0822,0.413
13197,0.195,0.977
13199,0.418,0.628
13201,0,0.334
13205,0.278,0.662
13207,0,1
13209,0.0279,0.623
13211,0.682,0.47
13213,0,0.712
13215,0,1
13217,0.0238,0.853
13219,0,0.828
13221,0.172,0.398
13223,0,0.73
13225,0,0.933
13227,0,0.939
13229,0.0122,0.349
13231,0,0.47
13233,0,0.908
13235,0,0.878
13237,0.059,1
13239,0,1
