zip,nearest_nuclear_km,tri_within_5km,dams_high_within_10km_naming_town,strategic_km,strategic_bearing,strategic_site
00601,1615.9,0,1,,,
00602,1567.2,0,0,,,
00603,1566.1,1,0,,,
00606,1601,0,1,,,
00610,1575.7,1,0,,,
00611,1605.2,0,0,,,
00612,1606.6,0,1,,,
00616,1608.9,1,0,,,
00617,1617.4,2,0,,,
00622,1591.3,0,0,,,
00623,1585.5,0,0,,,
00624,1626.1,2,0,,,
00627,1592.1,0,0,,,
00631,1608.5,0,0,,,
00636,1587.6,0,0,,,
00637,1604.4,1,0,,,
00638,1631.4,0,1,,,
00641,1615.1,0,3,,,
00646,1643,1,0,,,
00647,1611.5,0,0,,,
00650,1621.5,0,0,,,
00652,1614.3,2,0,,,
00653,1614,0,0,,,
00656,1620.8,2,0,,,
00659,1597.3,1,0,,,
00660,1586.2,0,0,,,
00662,1575.2,0,1,,,
00664,1628.4,1,0,,,
00667,1601.3,0,0,,,
00669,1599.5,0,0,,,
00670,1591.6,0,0,,,
00674,1625.3,3,0,,,
00676,1574.5,0,0,,,
00677,1564.4,0,0,,,
00678,1585.1,0,0,,,
00680,1581.8,2,0,,,
00682,1577.4,2,0,,,
00683,1594.8,0,0,,,
00685,1586.8,0,0,,,
00687,1637.5,0,0,,,
00688,1615.3,0,0,,,
00690,1566.4,0,0,,,
00692,1639.8,0,0,,,
00693,1633.3,2,0,,,
00694,1630.6,2,0,,,
00698,1613.4,0,2,,,
00703,1667.6,0,0,,,
00704,1674.9,2,0,,,
00705,1662.3,2,0,,,
00707,1700.1,0,0,,,
00714,1689,1,0,,,
00715,1643.8,2,0,,,
00716,1640.4,3,3,,,
00717,1639,3,4,,,
00718,1702.6,1,1,,,
00719,1654.2,0,0,,,
00720,1643,0,0,,,
00723,1692.5,0,1,,,
00725,1677.4,1,0,,,
00727,1675,1,0,,,
00728,1635.1,0,1,,,
00729,1684.8,0,0,,,
00730,1637.2,3,4,,,
00731,1630.3,0,0,,,
00735,1709.6,1,0,,,
00736,1674.1,1,0,,,
00738,1703.7,1,1,,,
00739,1669,2,1,,,
00740,1708.1,3,1,,,
00741,1706.6,0,0,,,
00745,1690.8,0,0,,,
00751,1670,2,0,,,
00754,1687.9,0,0,,,
00757,1658.3,1,1,,,
00765,1739,0,0,,,
00766,1643.8,0,0,,,
00767,1699.2,0,0,,,
00769,1656,1,0,,,
00771,1694.7,4,0,,,
00772,1677.3,0,0,,,
00773,1699.3,0,0,,,
00775,1738.1,0,0,,,
00777,1689.1,2,0,,,
00778,1680.5,0,0,,,
00780,1637.5,0,1,,,
00782,1660.6,0,0,,,
00783,1646.8,0,0,,,
00784,1681.1,1,2,,,
00786,1665.3,1,0,,,
00791,1702.4,5,0,,,
00794,1654.4,0,0,,,
00795,1646.7,1,0,,,
00802,1772.5,2,0,,,
00820,1826,2,0,,,
00830,1790.1,0,0,,,
00840,1813.8,1,0,,,
00850,1818.9,1,0,,,
00851,1818.1,0,0,,,
00901,1657.3,4,0,,,
00906,1658.6,6,0,,,
00907,1659.9,10,0,,,
00909,1662.3,6,0,,,
00911,1662.7,2,0,,,
00912,1662.9,4,0,,,
00913,1663.1,2,0,,,
00915,1664.6,3,0,,,
00917,1665.1,6,1,,,
00918,1663.4,9,1,,,
00920,1661.3,12,1,,,
00921,1663.4,11,1,,,
00923,1666.9,3,1,,,
00924,1669.7,3,1,,,
00925,1666.2,4,1,,,
00926,1668.9,0,2,,,
00927,1665.2,7,1,,,
00934,1659.2,19,0,,,
00949,1649.7,2,0,,,
00950,1645.5,0,0,,,
00951,1645.7,1,0,,,
00952,1652.1,8,0,,,
00953,1650.2,1,1,,,
00956,1659.9,0,0,,,
00957,1655.6,1,0,,,
00959,1657.5,6,0,,,
00960,1656.9,18,0,,,
00961,1655.5,12,0,,,
00962,1656.3,15,0,,,
00965,1659,13,0,,,
00966,1660.6,18,0,,,
00968,1661.4,13,0,,,
00969,1662.8,5,1,,,
00971,1664.7,2,0,,,
00976,1675,0,1,,,
00979,1668.8,2,0,,,
00982,1671.2,4,0,,,
00983,1671.6,3,0,,,
00985,1675,4,0,,,
00987,1679.1,2,0,,,
01001,91.8,1,1,,,
01002,121.1,0,1,,,
01003,123.8,0,1,,,
01005,116.3,0,5,,,
01007,109.9,2,0,,,
01008,118.2,0,2,,,
01009,101.1,1,0,,,
01010,90.9,0,0,145,109,cape_cod_sfs
01011,127.5,0,0,,,
01012,131.4,0,0,,,
01013,99,9,2,,,
01020,101.3,19,2,,,
01022,103.3,8,2,,,
01026,143.4,0,0,,,
01027,119.7,0,1,,,
01028,87.9,3,0,,,
01029,120.1,0,0,,,
01030,95.1,1,1,,,
01031,113.1,0,0,,,
01032,138.4,0,0,,,
01033,107.5,0,0,,,
01034,109.2,0,0,,,
01035,120.9,0,0,,,
01036,87.1,0,0,,,
01037,118.5,0,0,,,
01038,124.3,1,0,,,
01039,129.8,0,0,,,
01040,107.7,7,4,,,
01050,123.8,0,2,,,
01053,124.7,0,3,,,
01054,131.4,0,0,,,
01056,100,3,0,,,
01057,88,1,0,,,
01060,118.7,3,3,,,
01062,121,0,3,,,
01063,118.9,3,3,,,
01066,128.3,2,0,,,
01068,116.2,0,0,145,120,cape_cod_sfs
01069,98.3,2,0,,,
01070,148.3,0,0,,,
01071,111.1,0,1,,,
01072,129.1,0,0,,,
01073,112.5,0,0,,,
01074,117.7,0,0,149,120,cape_cod_sfs
01075,110.6,2,0,,,
01077,96.8,0,0,,,
01079,98.3,2,0,,,
01080,98.7,1,0,,,
01081,83.6,0,0,145,105,cape_cod_sfs
01082,110.4,0,2,,,
01083,99.7,0,0,148,112,cape_cod_sfs
01084,130.8,0,0,,,
01085,106.3,3,3,,,
01088,125.5,1,0,,,
01089,99,2,0,,,
01092,98.2,0,0,,,
01093,132.2,1,0,,,
01094,117.8,0,0,,,
01095,94.5,1,0,,,
01096,132,0,0,,,
01097,109.9,0,0,,,
01098,136.9,0,0,,,
01103,94.9,2,3,,,
01104,97.3,10,3,,,
01105,93.6,1,3,,,
01106,88.1,3,0,,,
01107,97.2,2,3,,,
01108,91.8,3,3,,,
01109,95.4,8,3,,,
01118,92.1,3,3,,,
01119,94.9,10,3,,,
01128,90.9,0,3,,,
01129,93.7,5,3,,,
01144,94.7,2,3,,,
01151,97.7,11,3,,,
01201,142.8,0,2,,,
01220,165.7,2,0,,,
01222,102.7,2,0,,,
01223,134.4,0,0,,,
01224,150.6,4,0,,,
01225,158.5,0,0,,,
01226,149.9,4,0,,,
01229,123.7,0,0,,,
01230,113.1,0,0,,,
01235,144.5,0,0,,,
