place,name,buildings_direct,buildings_indirect,risk_national_rank
0100100,"Abanda, AL",1,0,0.835
0100124,"Abbeville, AL",0.697,0.303,0.568
0100460,"Adamsville, AL",0.654,0.346,0.736
0100484,"Addison, AL",0.799,0.201,0.764
0100676,"Akron, AL",0.636,0.364,0.565
0100820,"Alabaster, AL",0.413,0.485,0.705
0100988,"Albertville, AL",0.397,0.314,0.696
0101132,"Alexander City, AL",0.818,0.171,0.856
0101180,"Alexandria, AL",0.906,0.094,0.829
0101228,"Aliceville, AL",0.546,0.454,0.533
0101396,"Allgood, AL",0.613,0.387,0.723
0101660,"Altoona, AL",0.712,0.288,0.754
0101708,"Andalusia, AL",0.582,0.418,0.699
0101756,"Anderson, AL",0.933,0.067,0.539
0101852,"Anniston, AL",0.402,0.52,0.8
0102116,"Arab, AL",0.57,0.43,0.678
0102260,"Ardmore, AL",0.453,0.524,0.23
0102320,"Argo, AL",0.868,0.132,0.766
0102428,"Ariton, AL",0.864,0.136,0.544
0102500,"Arley, AL",0.923,0.077,0.767
0102836,"Ashford, AL",0.649,0.348,0.555
0102860,"Ashland, AL",0.804,0.196,0.898
0102908,"Ashville, AL",0.902,0.098,0.799
0102956,"Athens, AL",0.38,0.106,0.246
0103004,"Atmore, AL",0.481,0.426,0.797
0103028,"Attalla, AL",0.256,0.744,0.746
0103076,"Auburn, AL",0.417,0.453,0.809
0103220,"Autaugaville, AL",0.859,0.14,0.573
0103364,"Avon, AL",0.96,0.007,0.576
0103508,"Axis, AL",0.805,0.195,0.895
0103556,"Babbie, AL",1,0,0.706
0103676,"Baileyton, AL",0.89,0.11,0.695
0103724,"Bakerhill, AL",1,0,0.664
0103820,"Ballplay, AL",0.981,0.019,0.847
0103940,"Banks, AL",0.769,0.231,0.594
0104660,"Bay Minette, AL",0.548,0.452,0.881
0104684,"Bayou La Batre, AL",0.515,0.483,0.972
0104852,"Bear Creek, AL",0.814,0.185,0.657
0104900,"Beatrice, AL",0.811,0.189,0.629
0104948,"Beaverton, AL",0.839,0.161,0.581
0105140,"Belgreen, AL",0.915,0.085,0.672
0105164,"Belk, AL",0.733,0.267,0.571
0105188,"Bellamy, AL",0.88,0.12,0.563
0105212,"Belle Fontaine, AL",0.989,0,0.937
0105692,"Benton, AL",0.698,0.302,0.573
0105812,"Berlin, AL",0.789,0.211,0.704
0105932,"Berry, AL",0.827,0.173,0.696
0105980,"Bessemer, AL",0.253,0.487,0.682
0106460,"Billingsley, AL",0.929,0.071,0.649
0107000,"Birmingham, AL",0.188,0.245,0.696
0107120,"Black, AL",0.734,0.266,0.644
0107456,"Blountsville, AL",0.567,0.433,0.74
