zip,place,zip_land_share
01001,2500840,1
01002,2501370,0.504
01003,2501370,1
01005,2503705,0.037
01007,2504790,0.092
01008,2506050,0.019
01009,2552144,1
01011,2513450,0.043
01013,2513660,1
01020,2513660,0.998
01022,2513660,1
01030,2500840,1
01033,2526500,0.125
01038,2529230,0.266
01040,2530840,1
01050,2531750,0.112
01053,2546330,1
01057,2542180,0.075
01060,2546330,1
01062,2546330,1
01063,2546330,1
01069,2552144,0.965
01071,2558615,0.147
01079,2552144,1
01080,2552144,1
01082,2572845,0.132
01083,2573055,0.101
01085,2576030,0.774
01089,2577890,1
01092,2578445,0.189
01095,2552144,0.02
01095,2579705,0.249
01103,2567000,1
01104,2567000,1
01105,2567000,1
01106,2536335,0.948
01106,2567000,0.052
01107,2567000,1
01108,2567000,0.994
01109,2567000,1
01118,2567000,1
01119,2567000,1
01128,2567000,1
01129,2567000,1
01144,2567000,1
01151,2567000,1
01201,2553960,0.67
01220,2500590,0.107
01225,2513310,0.014
01230,2526780,0.015
01236,2531295,0.065
01238,2534620,0.048
01240,2534935,0.083
01242,2535040,1
01247,2546225,0.443
01267,2579950,0.057
01301,2527060,0.845
01331,2502515,0.151
01342,2516635,0.1
01344,2541410,0.029
01349,2541410,0.052
01360,2547800,0.13
01364,2551230,0.166
01366,2553085,0.033
01370,2561205,0.055
01373,2563620,0.137
01376,2570815,0.466
01420,2523875,0.918
01420,2535075,0.082
01430,2562780,0.081
01432,2503040,0.154
01432,2516840,0.192
01434,2516840,0.689
01436,2503355,0.278
01440,2525485,0.9
01450,2527445,0.051
01453,2535075,1
01460,2536020,0.214
01462,2537385,0.143
01463,2520310,0.063
01463,2552770,0.092
01464,2516840,0.044
01464,2561555,0.087
01469,2570325,0.078
01475,2580370,0.053
01506,2509070,0.074
01510,2514430,0.264
01515,2518595,0.164
01516,2518875,0.093
01518,2523840,0.191
01521,2530630,0.216
01523,2564460,0.047
01532,2546785,0.178
01534,2579495,0.037
01535,2547100,0.069
01540,2551790,0.181
01543,2558790,0.084
01550,2563345,1
01561,2564460,1
01562,2566070,0.064
01566,2523840,0.033
01566,2568120,0.213
01568,2571445,0.116
01570,2573930,0.24
01581,2575050,0.092
01585,2575365,0.045
01588,2579495,0.407
01602,2582000,1
01603,2582000,0.984
01604,2582000,1
01605,2582000,1
01606,2582000,0.936
01607,2582000,0.929
01608,2582000,1
01609,2582000,1
01610,2582000,1
01701,2524960,1
01702,2524960,0.993
01731,2528425,0.381
01731,2535250,0.114
01742,2575680,0.14
01747,2530980,0.338
01748,2531050,0.058
01749,2531575,0.498
01752,2538715,1
01754,2539660,1
01757,2541200,0.671
01772,2515340,0.133
01778,2514570,0.253
01801,2581035,0.996
01803,2509875,1
01810,2501430,0.117
01821,2553680,0.225
01830,2529405,1
01832,2529405,1
01835,2529405,1
01840,2534550,1
01841,2534550,1
01843,2534550,1
01850,2537000,0.999
01851,2537000,1
01852,2537000,1
01854,2537000,0.989
01867,2556165,0.999
01880,2572250,1
01887,2580195,1
01890,2580545,1
01901,2537490,1
01902,2537490,0.999
01904,2537490,1
01905,2537490,1
01906,2537490,0.069
01906,2560050,0.931
01907,2568680,0.999
01908,2543615,1
01915,2505595,1
01921,2507385,0.227
01923,2516285,1
01929,2521815,0.148
01930,2526150,1
01937,2516285,1
01938,2532275,0.051
01940,2537595,0.978
01940,2552490,0.022
01945,2538435,0.988
01945,2559105,0.012
01950,2545245,1
01952,2559210,0.383
01960,2552490,1
01965,2505595,1
01966,2557845,0.57
01969,2558370,0.094
01970,2559105,1
01983,2570115,0.228
02019,2504965,0.294
02026,2516530,1
02030,2517370,0.281
02035,2524855,0.145
02038,2525172,1
02043,2530175,0.14
02045,2531680,1
02048,2538230,0.137
02050,2511945,0.051
02050,2538820,0.176
02050,2538960,0.159
02050,2550862,0.076
02052,2539730,0.343
02054,2541532,0.261
02062,2550285,0.983
02066,2549165,0.227
02066,2560295,0.246
02067,2560820,0.132
02081,2572460,0.159
02108,2507000,1
02109,2507000,1
02110,2507000,1
02111,2507000,1
02113,2507000,1
02114,2507000,1
02115,2507000,1
02116,2507000,1
02118,2507000,1
02119,2507000,1
02120,2507000,1
02121,2507000,1
02122,2507000,1
02124,2507000,1
02125,2507000,1
02126,2507000,1
02127,2507000,1
02128,2507000,0.937
02128,2581005,0.063
02129,2507000,1
02130,2507000,1
02131,2507000,1
02132,2507000,1
02133,2507000,1
02134,2507000,1
02135,2507000,1
02136,2507000,1
02138,2511000,0.998
02139,2511000,1
02140,2511000,0.999
02141,2511000,1
02142,2511000,1
02143,2562535,1
02144,2562535,1
02145,2562535,0.999
02148,2537875,1
02149,2521990,0.999
02150,2513205,1
02151,2556585,1
02152,2581005,1
02155,2539835,0.989
02155,2562535,0.011
02163,2507000,1
02169,2555745,0.994
02170,2555745,1
02171,2555745,0.999
02176,2540115,1
02180,2567700,1
02184,2507740,1
02186,2541725,0.95
02186,2556000,0.05
02188,2578972,1
02189,2578972,1
02190,2578972,1
02191,2578972,0.999
02199,2507000,1
02203,2507000,1
02205,2507000,1
02210,2507000,1
02215,2507000,0.95
02215,2509210,0.05
02301,2509000,1
02302,2509000,1
02324,2508130,0.998
02325,2508130,1
02332,2517860,0.093
02332,2527130,0.011
02332,2563690,0.124
02341,2528460,0.123
02343,2530420,1
02346,2540885,0.057
02347,2548220,0.17
02351,2500135,1
02359,2548710,0.205
02360,2548780,0.013
02360,2554275,0.023
02360,2569585,0.042
02364,2533185,0.258
02368,2530420,0.026
02368,2556000,0.974
02420,2509875,0.063
02420,2535250,0.937
02421,2535250,1
02445,2507000,0.027
02445,2509210,0.973
02446,2509210,0.998
02451,2572600,1
02452,2572600,1
02453,2572600,1
02457,2574210,1
02458,2545560,1
02459,2545560,1
02460,2545560,1
02461,2545560,1
02462,2545560,1
02464,2545560,1
02465,2545560,1
02466,2545560,1
02467,2507000,0.121
02467,2509210,0.59
02467,2545560,0.29
02468,2545560,1
02474,2501640,1
02476,2501640,1
02478,2505105,1
02481,2574210,1
02482,2574210,1
02492,2544140,0.999
02494,2544140,1
02532,2507140,0.124
02532,2510015,0.139
02532,2542670,0.14
02534,2554450,0.034
02536,2518980,0.199
02536,2569205,0.038
02537,2520380,0.505
02538,2551160,0.036
02538,2579390,0.185
02539,2521115,0.045
02540,2523070,0.19
02540,2575960,0.273
02540,2581245,0.038
02543,2581245,0.152
02553,2542670,1
02554,2537735,0.05
02554,2543755,0.146
02556,2547730,0.98
02556,2575960,0.02
02557,2550425,0.516
02558,2551160,0.704
02559,2542670,0.085
02559,2554450,0.676
02561,2558965,1
02562,2558965,0.73
02563,2520380,0.044
02563,2524190,0.033
02563,2559700,0.275
02564,2561940,0.35
02568,2550425,0.011
02568,2571970,0.102
02571,2573020,0.086
02571,2578410,0.024
02571,2578850,0.068
02576,2578410,0.35
02601,2503690,1
02630,2503690,1
02631,2507945,0.176
02632,2503690,1
02633,2512960,0.305
02633,2575505,0.339
02635,2503690,1
02637,2503690,1
02638,2516740,0.833
02638,2518840,0.167
02639,2516810,0.985
02639,2575820,0.015
02641,2518840,1
02642,2547590,0.246
02644,2524190,1
02645,2519400,0.474
02645,2529055,0.125
02645,2529090,0.029
02645,2549700,0.333
02646,2529055,0.045
02646,2529090,0.74
02646,2549700,0.215
02647,2503690,1
02648,2503690,1
02649,2539152,0.054
02649,2545500,0.103
02649,2555070,0.013
02649,2560505,0.015
02653,2551405,0.192
02655,2503690,1
02657,2555535,0.185
02660,2516740,0.026
02660,2516810,0.033
02660,2518840,0.267
02660,2563655,0.543
02660,2575820,0.131
02664,2566035,0.799
02668,2503690,1
02670,2575820,1
02671,2549700,0.996
02672,2503690,1
02673,2566035,0.148
02673,2578795,0.721
02675,2503690,0.099
02675,2582595,0.687
02703,2502690,1
02717,2523000,0.204
02718,2569170,1
02720,2523000,1
02721,2523000,1
02723,2523000,1
02724,2523000,1
02725,2562465,1
02726,2562465,1
02738,2538575,0.073
02739,2539485,0.282
02740,2545000,1
02743,2500530,0.078
02744,2545000,1
